Category: All categories

Week,Lumber: (Portugal)
2016-01-03,49
2016-01-10,26
2016-01-17,40
2016-01-24,58
2016-01-31,31
2016-02-07,100
2016-02-14,56
2016-02-21,65
2016-02-28,55
2016-03-06,46
2016-03-13,52
2016-03-20,63
2016-03-27,51
2016-04-03,47
2016-04-10,51
2016-04-17,71
2016-04-24,69
2016-05-01,43
2016-05-08,63
2016-05-15,60
2016-05-22,35
2016-05-29,29
2016-06-05,85
2016-06-12,54
2016-06-19,51
2016-06-26,70
2016-07-03,62
2016-07-10,42
2016-07-17,54
2016-07-24,28
2016-07-31,0
2016-08-07,86
2016-08-14,0
2016-08-21,39
2016-08-28,34
2016-09-04,0
2016-09-11,0
2016-09-18,0
2016-09-25,42
2016-10-02,61
2016-10-09,0
2016-10-16,40
2016-10-23,73
2016-10-30,39
2016-11-06,31
2016-11-13,86
2016-11-20,0
2016-11-27,93
2016-12-04,49
2016-12-11,64
2016-12-18,65
2016-12-25,80
