Category: All categories

Week,Energy: (Portugal),Shoes: (Portugal)
2016-01-03,48,74
2016-01-10,41,70
2016-01-17,44,73
2016-01-24,42,65
2016-01-31,40,68
2016-02-07,34,67
2016-02-14,41,71
2016-02-21,43,79
2016-02-28,46,74
2016-03-06,43,82
2016-03-13,39,77
2016-03-20,33,79
2016-03-27,35,79
2016-04-03,40,78
2016-04-10,45,75
2016-04-17,44,80
2016-04-24,44,83
2016-05-01,46,82
2016-05-08,49,81
2016-05-15,50,80
2016-05-22,48,83
2016-05-29,49,75
2016-06-05,39,78
2016-06-12,42,72
2016-06-19,28,71
2016-06-26,31,74
2016-07-03,30,70
2016-07-10,28,63
2016-07-17,30,69
2016-07-24,30,72
2016-07-31,25,67
2016-08-07,23,62
2016-08-14,23,65
2016-08-21,27,66
2016-08-28,32,65
2016-09-04,30,76
2016-09-11,30,75
2016-09-18,35,77
2016-09-25,38,89
2016-10-02,38,84
2016-10-09,37,100
2016-10-16,37,91
2016-10-23,39,84
2016-10-30,36,80
2016-11-06,44,83
2016-11-13,42,81
2016-11-20,40,81
2016-11-27,39,80
2016-12-04,35,76
2016-12-11,32,75
2016-12-18,26,66
2016-12-25,29,72
