Category: All categories

Week,ebook: (Portugal)
2008-01-06,76
2008-01-13,57
2008-01-20,71
2008-01-27,45
2008-02-03,68
2008-02-10,44
2008-02-17,67
2008-02-24,39
2008-03-02,83
2008-03-09,82
2008-03-16,72
2008-03-23,55
2008-03-30,56
2008-04-06,72
2008-04-13,36
2008-04-20,78
2008-04-27,32
2008-05-04,56
2008-05-11,62
2008-05-18,57
2008-05-25,48
2008-06-01,36
2008-06-08,44
2008-06-15,55
2008-06-22,52
2008-06-29,69
2008-07-06,54
2008-07-13,23
2008-07-20,70
2008-07-27,86
2008-08-03,55
2008-08-10,79
2008-08-17,35
2008-08-24,53
2008-08-31,58
2008-09-07,64
2008-09-14,66
2008-09-21,93
2008-09-28,94
2008-10-05,70
2008-10-12,62
2008-10-19,100
2008-10-26,71
2008-11-02,80
2008-11-09,78
2008-11-16,59
2008-11-23,64
2008-11-30,74
2008-12-07,52
2008-12-14,68
2008-12-21,86
2008-12-28,70
