Category: All categories

Week,Nightclub: (Portugal)
2010-01-03,65
2010-01-10,58
2010-01-17,55
2010-01-24,71
2010-01-31,70
2010-02-07,71
2010-02-14,70
2010-02-21,53
2010-02-28,68
2010-03-07,58
2010-03-14,49
2010-03-21,56
2010-03-28,88
2010-04-04,64
2010-04-11,63
2010-04-18,64
2010-04-25,62
2010-05-02,44
2010-05-09,52
2010-05-16,60
2010-05-23,56
2010-05-30,74
2010-06-06,20
2010-06-13,75
2010-06-20,55
2010-06-27,80
2010-07-04,65
2010-07-11,67
2010-07-18,71
2010-07-25,71
2010-08-01,67
2010-08-08,63
2010-08-15,94
2010-08-22,87
2010-08-29,65
2010-09-05,50
2010-09-12,59
2010-09-19,46
2010-09-26,52
2010-10-03,44
2010-10-10,48
2010-10-17,52
2010-10-24,55
2010-10-31,70
2010-11-07,58
2010-11-14,43
2010-11-21,40
2010-11-28,29
2010-12-05,45
2010-12-12,53
2010-12-19,73
2010-12-26,100
2011-01-02,50
2011-01-09,43
2011-01-16,64
2011-01-23,58
2011-01-30,37
2011-02-06,58
2011-02-13,48
2011-02-20,57
2011-02-27,66
2011-03-06,67
2011-03-13,39
2011-03-20,51
2011-03-27,59
2011-04-03,57
2011-04-10,50
2011-04-17,59
2011-04-24,58
2011-05-01,54
2011-05-08,63
2011-05-15,43
2011-05-22,45
2011-05-29,70
2011-06-05,71
2011-06-12,58
2011-06-19,40
2011-06-26,41
2011-07-03,80
2011-07-10,51
2011-07-17,62
2011-07-24,57
2011-07-31,76
2011-08-07,58
2011-08-14,77
2011-08-21,63
2011-08-28,48
2011-09-04,49
2011-09-11,46
2011-09-18,44
2011-09-25,59
2011-10-02,76
2011-10-09,49
2011-10-16,51
2011-10-23,48
2011-10-30,55
2011-11-06,52
2011-11-13,59
2011-11-20,49
2011-11-27,40
2011-12-04,64
2011-12-11,47
2011-12-18,71
2011-12-25,92
