Category: All categories

Week,Gasoline: (Portugal)
2017-01-01,48
2017-01-08,48
2017-01-15,47
2017-01-22,47
2017-01-29,52
2017-02-05,51
2017-02-12,58
2017-02-19,52
2017-02-26,54
2017-03-05,49
2017-03-12,46
2017-03-19,47
2017-03-26,46
2017-04-02,50
2017-04-09,53
2017-04-16,54
2017-04-23,46
2017-04-30,57
2017-05-07,47
2017-05-14,50
2017-05-21,49
2017-05-28,56
2017-06-04,47
2017-06-11,53
2017-06-18,50
2017-06-25,51
2017-07-02,56
2017-07-09,45
2017-07-16,59
2017-07-23,61
2017-07-30,61
2017-08-06,55
2017-08-13,66
2017-08-20,55
2017-08-27,62
2017-09-03,57
2017-09-10,57
2017-09-17,63
2017-09-24,59
2017-10-01,46
2017-10-08,53
2017-10-15,50
2017-10-22,55
2017-10-29,57
2017-11-05,54
2017-11-12,63
2017-11-19,52
2017-11-26,48
2017-12-03,49
2017-12-10,51
2017-12-17,52
2017-12-24,55
2017-12-31,59
2018-01-07,53
2018-01-14,57
2018-01-21,53
2018-01-28,56
2018-02-04,55
2018-02-11,54
2018-02-18,60
2018-02-25,53
2018-03-04,60
2018-03-11,57
2018-03-18,55
2018-03-25,63
2018-04-01,64
2018-04-08,59
2018-04-15,58
2018-04-22,54
2018-04-29,59
2018-05-06,60
2018-05-13,61
2018-05-20,100
2018-05-27,83
2018-06-03,62
2018-06-10,79
2018-06-17,64
2018-06-24,64
2018-07-01,63
2018-07-08,74
2018-07-15,74
2018-07-22,76
2018-07-29,74
2018-08-05,69
2018-08-12,72
2018-08-19,73
2018-08-26,74
2018-09-02,67
2018-09-09,66
2018-09-16,64
2018-09-23,63
2018-09-30,64
2018-10-07,70
2018-10-14,76
2018-10-21,70
2018-10-28,69
2018-11-04,58
2018-11-11,74
2018-11-18,64
2018-11-25,64
2018-12-02,78
2018-12-09,69
2018-12-16,67
2018-12-23,79
2018-12-30,83
