Category: All categories

Week,Hairdresser: (Portugal)
2013-01-06,75
2013-01-13,78
2013-01-20,87
2013-01-27,80
2013-02-03,78
2013-02-10,89
2013-02-17,76
2013-02-24,79
2013-03-03,74
2013-03-10,70
2013-03-17,90
2013-03-24,85
2013-03-31,78
2013-04-07,67
2013-04-14,72
2013-04-21,62
2013-04-28,79
2013-05-05,71
2013-05-12,72
2013-05-19,66
2013-05-26,84
2013-06-02,75
2013-06-09,79
2013-06-16,80
2013-06-23,85
2013-06-30,76
2013-07-07,97
2013-07-14,81
2013-07-21,93
2013-07-28,81
2013-08-04,97
2013-08-11,100
2013-08-18,99
2013-08-25,89
2013-09-01,100
2013-09-08,81
2013-09-15,78
2013-09-22,79
2013-09-29,72
2013-10-06,78
2013-10-13,72
2013-10-20,69
2013-10-27,71
2013-11-03,93
2013-11-10,72
2013-11-17,67
2013-11-24,70
2013-12-01,90
2013-12-08,85
2013-12-15,83
2013-12-22,79
2013-12-29,80
