Category: All categories

Week,Energy: (Portugal),Restaurant: (Portugal)
2011-01-02,21,62
2011-01-09,26,61
2011-01-16,26,65
2011-01-23,25,69
2011-01-30,24,69
2011-02-06,26,81
2011-02-13,22,92
2011-02-20,26,69
2011-02-27,24,68
2011-03-06,21,67
2011-03-13,28,65
2011-03-20,25,62
2011-03-27,24,69
2011-04-03,22,64
2011-04-10,17,61
2011-04-17,19,72
2011-04-24,23,68
2011-05-01,25,64
2011-05-08,26,63
2011-05-15,30,64
2011-05-22,32,64
2011-05-29,31,68
2011-06-05,29,66
2011-06-12,31,64
2011-06-19,25,65
2011-06-26,32,61
2011-07-03,26,69
2011-07-10,25,77
2011-07-17,29,70
2011-07-24,24,74
2011-07-31,18,78
2011-08-07,15,79
2011-08-14,14,86
2011-08-21,15,76
2011-08-28,14,76
2011-09-04,15,80
2011-09-11,16,68
2011-09-18,19,80
2011-09-25,20,81
2011-10-02,20,69
2011-10-09,20,66
2011-10-16,23,63
2011-10-23,20,66
2011-10-30,19,66
2011-11-06,21,64
2011-11-13,23,63
2011-11-20,21,71
2011-11-27,20,79
2011-12-04,18,81
2011-12-11,20,93
2011-12-18,12,73
2011-12-25,16,100
