Category: All categories

Week,electrical appliance: (Portugal)
2015-01-04,0
2015-01-11,0
2015-01-18,0
2015-01-25,0
2015-02-01,0
2015-02-08,0
2015-02-15,0
2015-02-22,0
2015-03-01,0
2015-03-08,0
2015-03-15,0
2015-03-22,0
2015-03-29,0
2015-04-05,15
2015-04-12,0
2015-04-19,48
2015-04-26,26
2015-05-03,0
2015-05-10,48
2015-05-17,0
2015-05-24,0
2015-05-31,0
2015-06-07,0
2015-06-14,0
2015-06-21,0
2015-06-28,0
2015-07-05,0
2015-07-12,0
2015-07-19,0
2015-07-26,0
2015-08-02,0
2015-08-09,0
2015-08-16,0
2015-08-23,0
2015-08-30,0
2015-09-06,0
2015-09-13,0
2015-09-20,0
2015-09-27,0
2015-10-04,34
2015-10-11,0
2015-10-18,0
2015-10-25,0
2015-11-01,56
2015-11-08,100
2015-11-15,0
2015-11-22,0
2015-11-29,0
2015-12-06,0
2015-12-13,0
2015-12-20,0
2015-12-27,0
2016-01-03,0
2016-01-10,0
2016-01-17,0
2016-01-24,13
2016-01-31,0
2016-02-07,26
2016-02-14,0
2016-02-21,41
2016-02-28,14
2016-03-06,0
2016-03-13,0
2016-03-20,0
2016-03-27,14
2016-04-03,0
2016-04-10,0
2016-04-17,0
2016-04-24,0
2016-05-01,0
2016-05-08,0
2016-05-15,0
2016-05-22,24
2016-05-29,0
2016-06-05,56
2016-06-12,0
2016-06-19,0
2016-06-26,37
2016-07-03,0
2016-07-10,49
2016-07-17,26
2016-07-24,0
2016-07-31,0
2016-08-07,0
2016-08-14,0
2016-08-21,0
2016-08-28,21
2016-09-04,0
2016-09-11,23
2016-09-18,0
2016-09-25,0
2016-10-02,0
2016-10-09,0
2016-10-16,16
2016-10-23,0
2016-10-30,0
2016-11-06,0
2016-11-13,0
2016-11-20,42
2016-11-27,21
2016-12-04,18
2016-12-11,0
2016-12-18,0
2016-12-25,0
