Category: All categories

Week,Shoes: (Portugal)
2014-01-05,64
2014-01-12,69
2014-01-19,67
2014-01-26,67
2014-02-02,64
2014-02-09,64
2014-02-16,72
2014-02-23,70
2014-03-02,70
2014-03-09,81
2014-03-16,78
2014-03-23,78
2014-03-30,80
2014-04-06,80
2014-04-13,81
2014-04-20,82
2014-04-27,81
2014-05-04,86
2014-05-11,80
2014-05-18,78
2014-05-25,77
2014-06-01,81
2014-06-08,76
2014-06-15,71
2014-06-22,71
2014-06-29,69
2014-07-06,75
2014-07-13,72
2014-07-20,76
2014-07-27,62
2014-08-03,69
2014-08-10,68
2014-08-17,65
2014-08-24,69
2014-08-31,74
2014-09-07,73
2014-09-14,90
2014-09-21,89
2014-09-28,82
2014-10-05,95
2014-10-12,84
2014-10-19,79
2014-10-26,75
2014-11-02,81
2014-11-09,85
2014-11-16,87
2014-11-23,76
2014-11-30,75
2014-12-07,73
2014-12-14,76
2014-12-21,72
2014-12-28,73
2015-01-04,71
2015-01-11,70
2015-01-18,66
2015-01-25,71
2015-02-01,74
2015-02-08,71
2015-02-15,75
2015-02-22,76
2015-03-01,78
2015-03-08,93
2015-03-15,79
2015-03-22,82
2015-03-29,98
2015-04-05,81
2015-04-12,83
2015-04-19,83
2015-04-26,94
2015-05-03,85
2015-05-10,92
2015-05-17,90
2015-05-24,91
2015-05-31,87
2015-06-07,80
2015-06-14,74
2015-06-21,74
2015-06-28,79
2015-07-05,72
2015-07-12,72
2015-07-19,72
2015-07-26,77
2015-08-02,72
2015-08-09,68
2015-08-16,75
2015-08-23,78
2015-08-30,73
2015-09-06,79
2015-09-13,86
2015-09-20,81
2015-09-27,84
2015-10-04,98
2015-10-11,99
2015-10-18,100
2015-10-25,89
2015-11-01,93
2015-11-08,81
2015-11-15,81
2015-11-22,79
2015-11-29,73
2015-12-06,78
2015-12-13,79
2015-12-20,80
2015-12-27,82
