Category: All categories

Week,Nightclub: (Portugal)
2013-01-06,56
2013-01-13,73
2013-01-20,63
2013-01-27,96
2013-02-03,62
2013-02-10,66
2013-02-17,54
2013-02-24,66
2013-03-03,59
2013-03-10,56
2013-03-17,56
2013-03-24,74
2013-03-31,66
2013-04-07,58
2013-04-14,63
2013-04-21,46
2013-04-28,50
2013-05-05,52
2013-05-12,46
2013-05-19,48
2013-05-26,54
2013-06-02,60
2013-06-09,69
2013-06-16,55
2013-06-23,61
2013-06-30,63
2013-07-07,74
2013-07-14,70
2013-07-21,60
2013-07-28,92
2013-08-04,87
2013-08-11,78
2013-08-18,96
2013-08-25,77
2013-09-01,65
2013-09-08,67
2013-09-15,55
2013-09-22,55
2013-09-29,48
2013-10-06,57
2013-10-13,60
2013-10-20,50
2013-10-27,47
2013-11-03,53
2013-11-10,41
2013-11-17,27
2013-11-24,48
2013-12-01,60
2013-12-08,48
2013-12-15,57
2013-12-22,78
2013-12-29,100
