Category: All categories

Week,Natural gas: (Portugal)
2012-01-01,37
2012-01-08,65
2012-01-15,60
2012-01-22,73
2012-01-29,86
2012-02-05,100
2012-02-12,56
2012-02-19,65
2012-02-26,60
2012-03-04,46
2012-03-11,50
2012-03-18,53
2012-03-25,59
2012-04-01,55
2012-04-08,54
2012-04-15,64
2012-04-22,52
2012-04-29,57
2012-05-06,73
2012-05-13,43
2012-05-20,57
2012-05-27,67
2012-06-03,55
2012-06-10,50
2012-06-17,57
2012-06-24,40
2012-07-01,66
2012-07-08,51
2012-07-15,33
2012-07-22,55
2012-07-29,40
2012-08-05,43
2012-08-12,69
2012-08-19,48
2012-08-26,47
2012-09-02,55
2012-09-09,41
2012-09-16,48
2012-09-23,54
2012-09-30,38
2012-10-07,42
2012-10-14,70
2012-10-21,57
2012-10-28,47
2012-11-04,72
2012-11-11,71
2012-11-18,68
2012-11-25,74
2012-12-02,84
2012-12-09,83
2012-12-16,62
2012-12-23,76
2012-12-30,56
2013-01-06,68
2013-01-13,70
2013-01-20,68
2013-01-27,72
2013-02-03,71
2013-02-10,53
2013-02-17,60
2013-02-24,71
2013-03-03,77
2013-03-10,43
2013-03-17,46
2013-03-24,47
2013-03-31,57
2013-04-07,62
2013-04-14,71
2013-04-21,36
2013-04-28,40
2013-05-05,68
2013-05-12,55
2013-05-19,60
2013-05-26,63
2013-06-02,59
2013-06-09,58
2013-06-16,53
2013-06-23,52
2013-06-30,45
2013-07-07,50
2013-07-14,45
2013-07-21,41
2013-07-28,35
2013-08-04,48
2013-08-11,27
2013-08-18,47
2013-08-25,45
2013-09-01,48
2013-09-08,42
2013-09-15,41
2013-09-22,57
2013-09-29,37
2013-10-06,39
2013-10-13,47
2013-10-20,49
2013-10-27,64
2013-11-03,54
2013-11-10,77
2013-11-17,87
2013-11-24,93
2013-12-01,95
2013-12-08,82
2013-12-15,67
2013-12-22,55
2013-12-29,57
