Category: All categories

Week,Energy: (Portugal),Mercedes-Benz: (Portugal)
2015-01-04,59,96
2015-01-11,67,87
2015-01-18,62,82
2015-01-25,57,79
2015-02-01,51,78
2015-02-08,51,78
2015-02-15,47,74
2015-02-22,62,75
2015-03-01,56,80
2015-03-08,56,73
2015-03-15,57,87
2015-03-22,47,82
2015-03-29,39,80
2015-04-05,49,80
2015-04-12,55,73
2015-04-19,52,72
2015-04-26,49,74
2015-05-03,52,72
2015-05-10,56,68
2015-05-17,52,67
2015-05-24,57,73
2015-05-31,48,73
2015-06-07,50,76
2015-06-14,44,77
2015-06-21,38,76
2015-06-28,38,71
2015-07-05,34,76
2015-07-12,35,74
2015-07-19,33,79
2015-07-26,38,83
2015-08-02,27,84
2015-08-09,29,86
2015-08-16,31,88
2015-08-23,30,79
2015-08-30,37,88
2015-09-06,37,86
2015-09-13,34,85
2015-09-20,39,84
2015-09-27,44,88
2015-10-04,42,78
2015-10-11,45,82
2015-10-18,43,82
2015-10-25,46,83
2015-11-01,46,83
2015-11-08,42,81
2015-11-15,42,91
2015-11-22,48,85
2015-11-29,48,89
2015-12-06,43,87
2015-12-13,44,80
2015-12-20,26,93
2015-12-27,36,100
