Category: All categories

Week,Used car: (Portugal)
2014-01-05,57
2014-01-12,60
2014-01-19,60
2014-01-26,65
2014-02-02,59
2014-02-09,52
2014-02-16,58
2014-02-23,61
2014-03-02,51
2014-03-09,53
2014-03-16,51
2014-03-23,50
2014-03-30,48
2014-04-06,48
2014-04-13,51
2014-04-20,52
2014-04-27,55
2014-05-04,54
2014-05-11,55
2014-05-18,57
2014-05-25,57
2014-06-01,52
2014-06-08,57
2014-06-15,53
2014-06-22,56
2014-06-29,50
2014-07-06,54
2014-07-13,54
2014-07-20,61
2014-07-27,57
2014-08-03,51
2014-08-10,62
2014-08-17,70
2014-08-24,71
2014-08-31,60
2014-09-07,62
2014-09-14,64
2014-09-21,66
2014-09-28,64
2014-10-05,60
2014-10-12,62
2014-10-19,70
2014-10-26,55
2014-11-02,61
2014-11-09,56
2014-11-16,62
2014-11-23,50
2014-11-30,55
2014-12-07,49
2014-12-14,49
2014-12-21,58
2014-12-28,61
2015-01-04,58
2015-01-11,70
2015-01-18,76
2015-01-25,77
2015-02-01,76
2015-02-08,66
2015-02-15,60
2015-02-22,57
2015-03-01,60
2015-03-08,55
2015-03-15,55
2015-03-22,60
2015-03-29,55
2015-04-05,59
2015-04-12,63
2015-04-19,58
2015-04-26,58
2015-05-03,59
2015-05-10,49
2015-05-17,49
2015-05-24,52
2015-05-31,52
2015-06-07,68
2015-06-14,66
2015-06-21,65
2015-06-28,65
2015-07-05,59
2015-07-12,52
2015-07-19,54
2015-07-26,57
2015-08-02,57
2015-08-09,56
2015-08-16,56
2015-08-23,60
2015-08-30,58
2015-09-06,62
2015-09-13,64
2015-09-20,60
2015-09-27,55
2015-10-04,57
2015-10-11,58
2015-10-18,57
2015-10-25,76
2015-11-01,100
2015-11-08,96
2015-11-15,88
2015-11-22,73
2015-11-29,53
2015-12-06,49
2015-12-13,51
2015-12-20,61
2015-12-27,57
