Category: All categories

Week,Energy: (Portugal),Furniture: (Portugal)
2009-01-04,95,38
2009-01-11,80,39
2009-01-18,72,40
2009-01-25,77,39
2009-02-01,69,39
2009-02-08,74,40
2009-02-15,88,44
2009-02-22,71,49
2009-03-01,100,36
2009-03-08,93,44
2009-03-15,80,45
2009-03-22,93,33
2009-03-29,60,36
2009-04-05,58,41
2009-04-12,81,46
2009-04-19,79,39
2009-04-26,80,41
2009-05-03,87,42
2009-05-10,78,35
2009-05-17,80,37
2009-05-24,94,38
2009-05-31,78,38
2009-06-07,56,31
2009-06-14,72,39
2009-06-21,53,34
2009-06-28,54,38
2009-07-05,59,41
2009-07-12,52,35
2009-07-19,46,35
2009-07-26,46,51
2009-08-02,39,40
2009-08-09,39,43
2009-08-16,29,45
2009-08-23,36,44
2009-08-30,40,43
2009-09-06,31,37
2009-09-13,51,43
2009-09-20,48,40
2009-09-27,53,46
2009-10-04,53,37
2009-10-11,56,45
2009-10-18,65,41
2009-10-25,57,46
2009-11-01,67,38
2009-11-08,64,42
2009-11-15,70,42
2009-11-22,60,39
2009-11-29,54,35
2009-12-06,61,38
2009-12-13,63,35
2009-12-20,34,25
2009-12-27,36,35
