Category: All categories

Week,Energy: (Portugal),Nightclub: (Portugal)
2018-01-07,82,25
2018-01-14,86,25
2018-01-21,85,30
2018-01-28,79,29
2018-02-04,72,30
2018-02-11,71,41
2018-02-18,82,33
2018-02-25,78,29
2018-03-04,82,30
2018-03-11,95,28
2018-03-18,83,35
2018-03-25,85,40
2018-04-01,82,30
2018-04-08,80,30
2018-04-15,90,24
2018-04-22,85,34
2018-04-29,89,32
2018-05-06,79,31
2018-05-13,80,25
2018-05-20,92,27
2018-05-27,77,34
2018-06-03,100,31
2018-06-10,82,30
2018-06-17,67,28
2018-06-24,59,32
2018-07-01,58,41
2018-07-08,55,42
2018-07-15,60,45
2018-07-22,59,53
2018-07-29,55,51
2018-08-05,50,53
2018-08-12,53,68
2018-08-19,55,55
2018-08-26,54,40
2018-09-02,59,38
2018-09-09,56,37
2018-09-16,59,33
2018-09-23,76,27
2018-09-30,69,42
2018-10-07,88,33
2018-10-14,74,28
2018-10-21,76,26
2018-10-28,68,36
2018-11-04,75,29
2018-11-11,76,30
2018-11-18,79,26
2018-11-25,80,29
2018-12-02,81,31
2018-12-09,66,36
2018-12-16,63,35
2018-12-23,49,36
2018-12-30,65,37
