Category: All categories

Week,T-shirt: (Portugal)
2009-01-04,47
2009-01-11,43
2009-01-18,49
2009-01-25,38
2009-02-01,37
2009-02-08,62
2009-02-15,37
2009-02-22,38
2009-03-01,38
2009-03-08,64
2009-03-15,70
2009-03-22,65
2009-03-29,54
2009-04-05,59
2009-04-12,49
2009-04-19,96
2009-04-26,50
2009-05-03,70
2009-05-10,65
2009-05-17,52
2009-05-24,76
2009-05-31,69
2009-06-07,83
2009-06-14,64
2009-06-21,62
2009-06-28,71
2009-07-05,75
2009-07-12,75
2009-07-19,62
2009-07-26,50
2009-08-02,78
2009-08-09,76
2009-08-16,69
2009-08-23,62
2009-08-30,51
2009-09-06,52
2009-09-13,69
2009-09-20,63
2009-09-27,61
2009-10-04,63
2009-10-11,62
2009-10-18,47
2009-10-25,44
2009-11-01,55
2009-11-08,52
2009-11-15,48
2009-11-22,58
2009-11-29,53
2009-12-06,42
2009-12-13,50
2009-12-20,48
2009-12-27,37
2010-01-03,56
2010-01-10,53
2010-01-17,47
2010-01-24,35
2010-01-31,63
2010-02-07,49
2010-02-14,54
2010-02-21,62
2010-02-28,46
2010-03-07,56
2010-03-14,75
2010-03-21,60
2010-03-28,50
2010-04-04,66
2010-04-11,64
2010-04-18,68
2010-04-25,74
2010-05-02,74
2010-05-09,98
2010-05-16,100
2010-05-23,71
2010-05-30,79
2010-06-06,73
2010-06-13,67
2010-06-20,80
2010-06-27,80
2010-07-04,74
2010-07-11,66
2010-07-18,62
2010-07-25,73
2010-08-01,72
2010-08-08,69
2010-08-15,71
2010-08-22,61
2010-08-29,60
2010-09-05,42
2010-09-12,60
2010-09-19,44
2010-09-26,51
2010-10-03,51
2010-10-10,43
2010-10-17,57
2010-10-24,48
2010-10-31,53
2010-11-07,52
2010-11-14,43
2010-11-21,43
2010-11-28,49
2010-12-05,50
2010-12-12,52
2010-12-19,40
2010-12-26,50
