Category: All categories

Week,Energy: (Portugal),Furniture: (Portugal)
2007-01-07,70,54
2007-01-14,70,48
2007-01-21,68,63
2007-01-28,71,64
2007-02-04,58,58
2007-02-11,59,44
2007-02-18,43,40
2007-02-25,62,70
2007-03-04,73,58
2007-03-11,66,63
2007-03-18,72,50
2007-03-25,53,62
2007-04-01,54,57
2007-04-08,83,58
2007-04-15,78,55
2007-04-22,79,53
2007-04-29,68,51
2007-05-06,100,54
2007-05-13,98,48
2007-05-20,92,58
2007-05-27,94,55
2007-06-03,93,57
2007-06-10,79,59
2007-06-17,49,50
2007-06-24,50,63
2007-07-01,44,51
2007-07-08,48,51
2007-07-15,40,56
2007-07-22,43,58
2007-07-29,36,66
2007-08-05,38,51
2007-08-12,38,54
2007-08-19,48,72
2007-08-26,36,72
2007-09-02,53,59
2007-09-09,45,53
2007-09-16,49,50
2007-09-23,68,66
2007-09-30,57,58
2007-10-07,70,59
2007-10-14,74,49
2007-10-21,71,44
2007-10-28,73,52
2007-11-04,83,53
2007-11-11,83,39
2007-11-18,78,53
2007-11-25,81,49
2007-12-02,78,55
2007-12-09,79,41
2007-12-16,46,26
2007-12-23,38,42
2007-12-30,53,45
