Category: All categories

Week,Energy: (Portugal),Real Estate: (Portugal)
2006-01-01,41,69
2006-01-08,42,69
2006-01-15,38,68
2006-01-22,33,79
2006-01-29,36,72
2006-02-05,40,68
2006-02-12,28,79
2006-02-19,42,75
2006-02-26,35,83
2006-03-05,35,71
2006-03-12,36,81
2006-03-19,38,78
2006-03-26,32,80
2006-04-02,28,79
2006-04-09,26,79
2006-04-16,39,79
2006-04-23,39,82
2006-04-30,52,77
2006-05-07,58,71
2006-05-14,54,69
2006-05-21,63,60
2006-05-28,47,68
2006-06-04,61,74
2006-06-11,38,70
2006-06-18,26,64
2006-06-25,24,71
2006-07-02,21,76
2006-07-09,21,53
2006-07-16,21,74
2006-07-23,21,77
2006-07-30,18,77
2006-08-06,19,90
2006-08-13,17,94
2006-08-20,15,91
2006-08-27,22,94
2006-09-03,16,91
2006-09-10,17,81
2006-09-17,25,79
2006-09-24,33,98
2006-10-01,38,90
2006-10-08,34,100
2006-10-15,32,80
2006-10-22,39,80
2006-10-29,31,76
2006-11-05,34,66
2006-11-12,28,68
2006-11-19,35,94
2006-11-26,32,56
2006-12-03,30,62
2006-12-10,30,54
2006-12-17,20,50
2006-12-24,18,60
2006-12-31,25,68
