Category: All categories

Week,Shoes: (Portugal)
2014-01-05,66
2014-01-12,72
2014-01-19,67
2014-01-26,69
2014-02-02,65
2014-02-09,65
2014-02-16,75
2014-02-23,71
2014-03-02,71
2014-03-09,84
2014-03-16,79
2014-03-23,80
2014-03-30,82
2014-04-06,83
2014-04-13,82
2014-04-20,83
2014-04-27,84
2014-05-04,88
2014-05-11,81
2014-05-18,81
2014-05-25,81
2014-06-01,82
2014-06-08,77
2014-06-15,71
2014-06-22,73
2014-06-29,71
2014-07-06,76
2014-07-13,73
2014-07-20,79
2014-07-27,63
2014-08-03,69
2014-08-10,71
2014-08-17,67
2014-08-24,70
2014-08-31,74
2014-09-07,75
2014-09-14,92
2014-09-21,91
2014-09-28,85
2014-10-05,100
2014-10-12,86
2014-10-19,80
2014-10-26,78
2014-11-02,82
2014-11-09,87
2014-11-16,86
2014-11-23,77
2014-11-30,77
2014-12-07,75
2014-12-14,78
2014-12-21,73
2014-12-28,75
