Category: All categories

Week,Energy: (Portugal),Jam: (Portugal)
2014-01-05,85,23
2014-01-12,80,28
2014-01-19,80,23
2014-01-26,82,24
2014-02-02,73,24
2014-02-09,80,27
2014-02-16,71,25
2014-02-23,76,29
2014-03-02,68,28
2014-03-09,72,23
2014-03-16,81,27
2014-03-23,86,24
2014-03-30,77,28
2014-04-06,62,25
2014-04-13,61,47
2014-04-20,67,24
2014-04-27,67,31
2014-05-04,79,20
2014-05-11,86,27
2014-05-18,99,23
2014-05-25,100,26
2014-06-01,97,30
2014-06-08,88,25
2014-06-15,84,27
2014-06-22,78,36
2014-06-29,69,33
2014-07-06,69,39
2014-07-13,61,31
2014-07-20,52,31
2014-07-27,51,30
2014-08-03,48,38
2014-08-10,41,33
2014-08-17,51,38
2014-08-24,46,47
2014-08-31,62,47
2014-09-07,56,43
2014-09-14,66,38
2014-09-21,66,36
2014-09-28,72,34
2014-10-05,79,43
2014-10-12,71,38
2014-10-19,64,40
2014-10-26,74,36
2014-11-02,72,33
2014-11-09,76,36
2014-11-16,67,34
2014-11-23,66,35
2014-11-30,63,39
2014-12-07,74,53
2014-12-14,65,65
2014-12-21,58,99
2014-12-28,73,48
