Category: All categories

Week,Jam: (Portugal)
2007-01-07,18
2007-01-14,8
2007-01-21,20
2007-01-28,20
2007-02-04,22
2007-02-11,29
2007-02-18,30
2007-02-25,27
2007-03-04,14
2007-03-11,31
2007-03-18,20
2007-03-25,32
2007-04-01,60
2007-04-08,20
2007-04-15,33
2007-04-22,29
2007-04-29,17
2007-05-06,16
2007-05-13,16
2007-05-20,22
2007-05-27,26
2007-06-03,28
2007-06-10,23
2007-06-17,33
2007-06-24,27
2007-07-01,17
2007-07-08,16
2007-07-15,40
2007-07-22,23
2007-07-29,18
2007-08-05,34
2007-08-12,43
2007-08-19,46
2007-08-26,35
2007-09-02,37
2007-09-09,36
2007-09-16,34
2007-09-23,37
2007-09-30,35
2007-10-07,46
2007-10-14,54
2007-10-21,46
2007-10-28,31
2007-11-04,34
2007-11-11,34
2007-11-18,41
2007-11-25,29
2007-12-02,44
2007-12-09,49
2007-12-16,73
2007-12-23,63
2007-12-30,50
2008-01-06,14
2008-01-13,30
2008-01-20,30
2008-01-27,37
2008-02-03,28
2008-02-10,20
2008-02-17,32
2008-02-24,29
2008-03-02,27
2008-03-09,37
2008-03-16,51
2008-03-23,32
2008-03-30,30
2008-04-06,26
2008-04-13,28
2008-04-20,27
2008-04-27,29
2008-05-04,21
2008-05-11,32
2008-05-18,26
2008-05-25,23
2008-06-01,21
2008-06-08,13
2008-06-15,20
2008-06-22,30
2008-06-29,19
2008-07-06,25
2008-07-13,20
2008-07-20,16
2008-07-27,23
2008-08-03,31
2008-08-10,33
2008-08-17,39
2008-08-24,41
2008-08-31,36
2008-09-07,42
2008-09-14,29
2008-09-21,29
2008-09-28,36
2008-10-05,25
2008-10-12,42
2008-10-19,35
2008-10-26,41
2008-11-02,30
2008-11-09,37
2008-11-16,44
2008-11-23,28
2008-11-30,39
2008-12-07,32
2008-12-14,56
2008-12-21,100
2008-12-28,56
