Category: All categories

Week,Energy: (Portugal),Restaurant: (Portugal)
2009-01-04,46,58
2009-01-11,39,58
2009-01-18,35,60
2009-01-25,37,53
2009-02-01,32,68
2009-02-08,36,100
2009-02-15,44,62
2009-02-22,36,65
2009-03-01,49,63
2009-03-08,45,57
2009-03-15,40,59
2009-03-22,44,55
2009-03-29,29,60
2009-04-05,29,72
2009-04-12,40,60
2009-04-19,37,61
2009-04-26,38,71
2009-05-03,41,64
2009-05-10,38,61
2009-05-17,38,68
2009-05-24,45,71
2009-05-31,39,59
2009-06-07,28,59
2009-06-14,35,58
2009-06-21,24,60
2009-06-28,27,57
2009-07-05,28,60
2009-07-12,25,64
2009-07-19,22,65
2009-07-26,22,72
2009-08-02,19,70
2009-08-09,18,75
2009-08-16,16,75
2009-08-23,17,77
2009-08-30,19,61
2009-09-06,15,70
2009-09-13,24,63
2009-09-20,24,65
2009-09-27,26,68
2009-10-04,25,69
2009-10-11,27,70
2009-10-18,30,64
2009-10-25,27,68
2009-11-01,32,65
2009-11-08,32,65
2009-11-15,34,69
2009-11-22,29,81
2009-11-29,26,79
2009-12-06,30,90
2009-12-13,29,89
2009-12-20,15,77
2009-12-27,19,98
