Category: All categories

Week,Video game: (Portugal)
2018-01-07,67
2018-01-14,67
2018-01-21,65
2018-01-28,70
2018-02-04,62
2018-02-11,72
2018-02-18,62
2018-02-25,66
2018-03-04,69
2018-03-11,70
2018-03-18,71
2018-03-25,81
2018-04-01,70
2018-04-08,61
2018-04-15,61
2018-04-22,64
2018-04-29,66
2018-05-06,60
2018-05-13,60
2018-05-20,62
2018-05-27,66
2018-06-03,70
2018-06-10,71
2018-06-17,66
2018-06-24,76
2018-07-01,66
2018-07-08,65
2018-07-15,68
2018-07-22,68
2018-07-29,64
2018-08-05,68
2018-08-12,73
2018-08-19,73
2018-08-26,79
2018-09-02,76
2018-09-09,70
2018-09-16,62
2018-09-23,66
2018-09-30,69
2018-10-07,65
2018-10-14,63
2018-10-21,61
2018-10-28,70
2018-11-04,64
2018-11-11,73
2018-11-18,81
2018-11-25,73
2018-12-02,75
2018-12-09,76
2018-12-16,90
2018-12-23,100
2018-12-30,71
