Category: All categories

Week,Gasoline: (Portugal)
2015-01-04,78
2015-01-11,79
2015-01-18,66
2015-01-25,70
2015-02-01,68
2015-02-08,87
2015-02-15,75
2015-02-22,82
2015-03-01,75
2015-03-08,67
2015-03-15,75
2015-03-22,78
2015-03-29,77
2015-04-05,69
2015-04-12,86
2015-04-19,72
2015-04-26,74
2015-05-03,63
2015-05-10,67
2015-05-17,76
2015-05-24,87
2015-05-31,69
2015-06-07,66
2015-06-14,66
2015-06-21,65
2015-06-28,67
2015-07-05,83
2015-07-12,75
2015-07-19,76
2015-07-26,93
2015-08-02,100
2015-08-09,94
2015-08-16,93
2015-08-23,83
2015-08-30,67
2015-09-06,82
2015-09-13,63
2015-09-20,86
2015-09-27,66
2015-10-04,63
2015-10-11,74
2015-10-18,79
2015-10-25,80
2015-11-01,64
2015-11-08,65
2015-11-15,63
2015-11-22,75
2015-11-29,73
2015-12-06,76
2015-12-13,73
2015-12-20,92
2015-12-27,80
