Category: All categories

Week,Mobile phone: (Portugal)
2013-01-06,69
2013-01-13,71
2013-01-20,69
2013-01-27,68
2013-02-03,68
2013-02-10,69
2013-02-17,65
2013-02-24,62
2013-03-03,65
2013-03-10,69
2013-03-17,67
2013-03-24,74
2013-03-31,73
2013-04-07,66
2013-04-14,63
2013-04-21,69
2013-04-28,66
2013-05-05,69
2013-05-12,65
2013-05-19,64
2013-05-26,62
2013-06-02,64
2013-06-09,65
2013-06-16,61
2013-06-23,64
2013-06-30,63
2013-07-07,66
2013-07-14,68
2013-07-21,69
2013-07-28,76
2013-08-04,76
2013-08-11,80
2013-08-18,78
2013-08-25,76
2013-09-01,72
2013-09-08,80
2013-09-15,71
2013-09-22,75
2013-09-29,67
2013-10-06,76
2013-10-13,72
2013-10-20,72
2013-10-27,70
2013-11-03,69
2013-11-10,71
2013-11-17,73
2013-11-24,75
2013-12-01,85
2013-12-08,83
2013-12-15,80
2013-12-22,100
2013-12-29,86
