Category: All categories

Week,Energy: (Portugal),Travel agency: (Portugal)
2018-01-07,82,23
2018-01-14,86,21
2018-01-21,85,25
2018-01-28,79,16
2018-02-04,72,20
2018-02-11,71,21
2018-02-18,82,25
2018-02-25,78,19
2018-03-04,82,22
2018-03-11,95,18
2018-03-18,83,19
2018-03-25,85,14
2018-04-01,82,19
2018-04-08,80,20
2018-04-15,90,19
2018-04-22,85,19
2018-04-29,89,17
2018-05-06,79,15
2018-05-13,80,15
2018-05-20,92,12
2018-05-27,77,18
2018-06-03,100,21
2018-06-10,82,17
2018-06-17,67,17
2018-06-24,59,15
2018-07-01,58,19
2018-07-08,55,14
2018-07-15,60,22
2018-07-22,59,17
2018-07-29,55,14
2018-08-05,50,17
2018-08-12,53,15
2018-08-19,55,18
2018-08-26,54,18
2018-09-02,59,15
2018-09-09,56,17
2018-09-16,59,16
2018-09-23,76,15
2018-09-30,69,14
2018-10-07,88,16
2018-10-14,74,13
2018-10-21,76,13
2018-10-28,68,14
2018-11-04,75,14
2018-11-11,76,16
2018-11-18,79,18
2018-11-25,80,13
2018-12-02,81,13
2018-12-09,66,11
2018-12-16,63,8
2018-12-23,49,11
2018-12-30,65,13
