Category: All categories

Week,Lumber: (Portugal)
2017-01-01,56
2017-01-08,90
2017-01-15,69
2017-01-22,53
2017-01-29,83
2017-02-05,98
2017-02-12,39
2017-02-19,32
2017-02-26,85
2017-03-05,100
2017-03-12,33
2017-03-19,74
2017-03-26,71
2017-04-02,70
2017-04-09,94
2017-04-16,62
2017-04-23,90
2017-04-30,36
2017-05-07,61
2017-05-14,44
2017-05-21,54
2017-05-28,41
2017-06-04,0
2017-06-11,33
2017-06-18,35
2017-06-25,58
2017-07-02,26
2017-07-09,50
2017-07-16,58
2017-07-23,47
2017-07-30,91
2017-08-06,38
2017-08-13,46
2017-08-20,27
2017-08-27,0
2017-09-03,95
2017-09-10,73
2017-09-17,24
2017-09-24,58
2017-10-01,35
2017-10-08,69
2017-10-15,71
2017-10-22,61
2017-10-29,14
2017-11-05,45
2017-11-12,57
2017-11-19,55
2017-11-26,89
2017-12-03,76
2017-12-10,71
2017-12-17,79
2017-12-24,51
2017-12-31,97
