Category: All categories

Week,Video game: (Portugal)
2013-01-06,68
2013-01-13,74
2013-01-20,69
2013-01-27,68
2013-02-03,66
2013-02-10,84
2013-02-17,66
2013-02-24,62
2013-03-03,66
2013-03-10,68
2013-03-17,87
2013-03-24,86
2013-03-31,72
2013-04-07,63
2013-04-14,65
2013-04-21,67
2013-04-28,67
2013-05-05,60
2013-05-12,63
2013-05-19,59
2013-05-26,55
2013-06-02,61
2013-06-09,77
2013-06-16,73
2013-06-23,76
2013-06-30,71
2013-07-07,74
2013-07-14,75
2013-07-21,75
2013-07-28,76
2013-08-04,77
2013-08-11,80
2013-08-18,79
2013-08-25,74
2013-09-01,76
2013-09-08,74
2013-09-15,58
2013-09-22,63
2013-09-29,60
2013-10-06,61
2013-10-13,60
2013-10-20,59
2013-10-27,55
2013-11-03,63
2013-11-10,60
2013-11-17,59
2013-11-24,59
2013-12-01,61
2013-12-08,65
2013-12-15,80
2013-12-22,100
2013-12-29,83
