Category: All categories

Week,Electricity: (Portugal)
2017-01-01,77
2017-01-08,68
2017-01-15,100
2017-01-22,84
2017-01-29,83
2017-02-05,80
2017-02-12,72
2017-02-19,71
2017-02-26,63
2017-03-05,82
2017-03-12,69
2017-03-19,79
2017-03-26,77
2017-04-02,59
2017-04-09,64
2017-04-16,60
2017-04-23,72
2017-04-30,77
2017-05-07,66
2017-05-14,73
2017-05-21,69
2017-05-28,72
2017-06-04,81
2017-06-11,70
2017-06-18,58
2017-06-25,67
2017-07-02,62
2017-07-09,57
2017-07-16,59
2017-07-23,56
2017-07-30,62
2017-08-06,58
2017-08-13,63
2017-08-20,57
2017-08-27,66
2017-09-03,57
2017-09-10,62
2017-09-17,69
2017-09-24,66
2017-10-01,66
2017-10-08,55
2017-10-15,67
2017-10-22,64
2017-10-29,72
2017-11-05,78
2017-11-12,84
2017-11-19,66
2017-11-26,79
2017-12-03,81
2017-12-10,73
2017-12-17,81
2017-12-24,93
2017-12-31,87
