Category: All categories

Week,Shoes: (Portugal)
2007-01-07,44
2007-01-14,52
2007-01-21,54
2007-01-28,52
2007-02-04,34
2007-02-11,36
2007-02-18,37
2007-02-25,39
2007-03-04,29
2007-03-11,45
2007-03-18,49
2007-03-25,46
2007-04-01,51
2007-04-08,38
2007-04-15,61
2007-04-22,41
2007-04-29,62
2007-05-06,50
2007-05-13,54
2007-05-20,46
2007-05-27,57
2007-06-03,51
2007-06-10,41
2007-06-17,41
2007-06-24,52
2007-07-01,36
2007-07-08,45
2007-07-15,40
2007-07-22,47
2007-07-29,52
2007-08-05,41
2007-08-12,47
2007-08-19,34
2007-08-26,52
2007-09-02,51
2007-09-09,49
2007-09-16,51
2007-09-23,64
2007-09-30,42
2007-10-07,63
2007-10-14,56
2007-10-21,54
2007-10-28,53
2007-11-04,44
2007-11-11,51
2007-11-18,46
2007-11-25,45
2007-12-02,44
2007-12-09,47
2007-12-16,43
2007-12-23,44
2007-12-30,40
2008-01-06,41
2008-01-13,41
2008-01-20,49
2008-01-27,38
2008-02-03,45
2008-02-10,35
2008-02-17,48
2008-02-24,49
2008-03-02,53
2008-03-09,52
2008-03-16,58
2008-03-23,54
2008-03-30,49
2008-04-06,44
2008-04-13,57
2008-04-20,55
2008-04-27,61
2008-05-04,53
2008-05-11,47
2008-05-18,59
2008-05-25,47
2008-06-01,56
2008-06-08,45
2008-06-15,49
2008-06-22,47
2008-06-29,46
2008-07-06,44
2008-07-13,39
2008-07-20,50
2008-07-27,41
2008-08-03,40
2008-08-10,44
2008-08-17,44
2008-08-24,51
2008-08-31,52
2008-09-07,44
2008-09-14,52
2008-09-21,60
2008-09-28,60
2008-10-05,60
2008-10-12,63
2008-10-19,53
2008-10-26,50
2008-11-02,55
2008-11-09,51
2008-11-16,54
2008-11-23,43
2008-11-30,51
2008-12-07,42
2008-12-14,100
2008-12-21,69
2008-12-28,57
