Category: All categories

Week,Used car: (Portugal)
2015-01-04,58
2015-01-11,71
2015-01-18,75
2015-01-25,77
2015-02-01,77
2015-02-08,67
2015-02-15,62
2015-02-22,60
2015-03-01,60
2015-03-08,55
2015-03-15,56
2015-03-22,59
2015-03-29,57
2015-04-05,60
2015-04-12,64
2015-04-19,59
2015-04-26,59
2015-05-03,59
2015-05-10,48
2015-05-17,50
2015-05-24,54
2015-05-31,52
2015-06-07,68
2015-06-14,67
2015-06-21,67
2015-06-28,65
2015-07-05,61
2015-07-12,53
2015-07-19,55
2015-07-26,59
2015-08-02,58
2015-08-09,56
2015-08-16,57
2015-08-23,61
2015-08-30,59
2015-09-06,63
2015-09-13,64
2015-09-20,60
2015-09-27,54
2015-10-04,58
2015-10-11,61
2015-10-18,57
2015-10-25,76
2015-11-01,100
2015-11-08,97
2015-11-15,89
2015-11-22,73
2015-11-29,54
2015-12-06,50
2015-12-13,51
2015-12-20,60
2015-12-27,58
