Category: All categories

Week,ebook: (Portugal)
2007-01-07,75
2007-01-14,53
2007-01-21,61
2007-01-28,67
2007-02-04,33
2007-02-11,45
2007-02-18,60
2007-02-25,96
2007-03-04,81
2007-03-11,50
2007-03-18,41
2007-03-25,42
2007-04-01,66
2007-04-08,73
2007-04-15,62
2007-04-22,45
2007-04-29,55
2007-05-06,42
2007-05-13,55
2007-05-20,39
2007-05-27,55
2007-06-03,51
2007-06-10,45
2007-06-17,39
2007-06-24,73
2007-07-01,43
2007-07-08,60
2007-07-15,32
2007-07-22,58
2007-07-29,32
2007-08-05,55
2007-08-12,52
2007-08-19,23
2007-08-26,46
2007-09-02,87
2007-09-09,38
2007-09-16,36
2007-09-23,53
2007-09-30,56
2007-10-07,67
2007-10-14,91
2007-10-21,94
2007-10-28,71
2007-11-04,100
2007-11-11,63
2007-11-18,96
2007-11-25,72
2007-12-02,81
2007-12-09,60
2007-12-16,85
2007-12-23,82
2007-12-30,57
2008-01-06,74
2008-01-13,44
2008-01-20,59
2008-01-27,52
2008-02-03,66
2008-02-10,57
2008-02-17,65
2008-02-24,42
2008-03-02,80
2008-03-09,75
2008-03-16,59
2008-03-23,50
2008-03-30,62
2008-04-06,98
2008-04-13,43
2008-04-20,67
2008-04-27,49
2008-05-04,62
2008-05-11,72
2008-05-18,50
2008-05-25,59
2008-06-01,52
2008-06-08,33
2008-06-15,60
2008-06-22,68
2008-06-29,65
2008-07-06,65
2008-07-13,37
2008-07-20,66
2008-07-27,74
2008-08-03,67
2008-08-10,73
2008-08-17,58
2008-08-24,51
2008-08-31,48
2008-09-07,83
2008-09-14,74
2008-09-21,96
2008-09-28,88
2008-10-05,75
2008-10-12,73
2008-10-19,92
2008-10-26,69
2008-11-02,63
2008-11-09,84
2008-11-16,57
2008-11-23,64
2008-11-30,72
2008-12-07,59
2008-12-14,78
2008-12-21,68
2008-12-28,93
