Category: All categories

Week,Energy: (Portugal),Restaurant: (Portugal)
2010-01-03,27,61
2010-01-10,31,61
2010-01-17,30,63
2010-01-24,31,69
2010-01-31,31,69
2010-02-07,28,88
2010-02-14,23,73
2010-02-21,30,70
2010-02-28,27,80
2010-03-07,29,64
2010-03-14,28,63
2010-03-21,26,64
2010-03-28,18,71
2010-04-04,24,69
2010-04-11,31,60
2010-04-18,36,63
2010-04-25,29,72
2010-05-02,34,66
2010-05-09,33,65
2010-05-16,40,71
2010-05-23,42,68
2010-05-30,35,73
2010-06-06,28,64
2010-06-13,19,69
2010-06-20,18,67
2010-06-27,19,66
2010-07-04,19,70
2010-07-11,16,72
2010-07-18,15,73
2010-07-25,20,74
2010-08-01,16,75
2010-08-08,14,81
2010-08-15,15,89
2010-08-22,15,84
2010-08-29,13,79
2010-09-05,15,73
2010-09-12,21,77
2010-09-19,23,90
2010-09-26,21,78
2010-10-03,20,71
2010-10-10,25,68
2010-10-17,21,66
2010-10-24,23,70
2010-10-31,26,66
2010-11-07,26,67
2010-11-14,26,73
2010-11-21,24,77
2010-11-28,25,83
2010-12-05,24,89
2010-12-12,19,93
2010-12-19,14,79
2010-12-26,12,100
