Category: All categories

Week,Petroleum: (Portugal)
2014-01-05,29
2014-01-12,34
2014-01-19,29
2014-01-26,39
2014-02-02,33
2014-02-09,25
2014-02-16,31
2014-02-23,32
2014-03-02,41
2014-03-09,37
2014-03-16,40
2014-03-23,50
2014-03-30,31
2014-04-06,26
2014-04-13,22
2014-04-20,34
2014-04-27,30
2014-05-04,30
2014-05-11,41
2014-05-18,38
2014-05-25,38
2014-06-01,36
2014-06-08,33
2014-06-15,29
2014-06-22,26
2014-06-29,24
2014-07-06,27
2014-07-13,29
2014-07-20,22
2014-07-27,21
2014-08-03,23
2014-08-10,37
2014-08-17,13
2014-08-24,23
2014-08-31,33
2014-09-07,24
2014-09-14,34
2014-09-21,37
2014-09-28,29
2014-10-05,46
2014-10-12,51
2014-10-19,48
2014-10-26,40
2014-11-02,36
2014-11-09,59
2014-11-16,49
2014-11-23,42
2014-11-30,67
2014-12-07,73
2014-12-14,100
2014-12-21,61
2014-12-28,65
