Category: All categories

Week,Gasoline: (Portugal)
2016-01-03,69
2016-01-10,74
2016-01-17,79
2016-01-24,72
2016-01-31,67
2016-02-07,78
2016-02-14,82
2016-02-21,70
2016-02-28,72
2016-03-06,60
2016-03-13,83
2016-03-20,77
2016-03-27,77
2016-04-03,82
2016-04-10,83
2016-04-17,69
2016-04-24,78
2016-05-01,80
2016-05-08,77
2016-05-15,68
2016-05-22,82
2016-05-29,84
2016-06-05,76
2016-06-12,71
2016-06-19,62
2016-06-26,79
2016-07-03,75
2016-07-10,78
2016-07-17,76
2016-07-24,67
2016-07-31,79
2016-08-07,77
2016-08-14,85
2016-08-21,77
2016-08-28,92
2016-09-04,78
2016-09-11,77
2016-09-18,74
2016-09-25,84
2016-10-02,78
2016-10-09,78
2016-10-16,74
2016-10-23,77
2016-10-30,75
2016-11-06,66
2016-11-13,76
2016-11-20,75
2016-11-27,92
2016-12-04,87
2016-12-11,82
2016-12-18,84
2016-12-25,100
