Category: All categories

Week,Energy: (Portugal),Underwear: (Portugal)
2018-01-07,82,6
2018-01-14,88,8
2018-01-21,85,12
2018-01-28,79,9
2018-02-04,74,9
2018-02-11,71,13
2018-02-18,82,9
2018-02-25,80,9
2018-03-04,82,14
2018-03-11,96,11
2018-03-18,84,11
2018-03-25,86,8
2018-04-01,83,7
2018-04-08,79,7
2018-04-15,89,8
2018-04-22,85,10
2018-04-29,91,7
2018-05-06,79,7
2018-05-13,81,5
2018-05-20,93,10
2018-05-27,78,9
2018-06-03,100,8
2018-06-10,83,4
2018-06-17,67,8
2018-06-24,59,5
2018-07-01,58,10
2018-07-08,55,8
2018-07-15,60,12
2018-07-22,59,10
2018-07-29,56,6
2018-08-05,51,9
2018-08-12,53,12
2018-08-19,56,9
2018-08-26,54,9
2018-09-02,59,12
2018-09-09,57,8
2018-09-16,59,11
2018-09-23,76,8
2018-09-30,69,9
2018-10-07,89,10
2018-10-14,74,9
2018-10-21,76,7
2018-10-28,68,7
2018-11-04,75,7
2018-11-11,77,11
2018-11-18,79,11
2018-11-25,81,6
2018-12-02,82,9
2018-12-09,67,9
2018-12-16,63,8
2018-12-23,50,12
2018-12-30,65,17
