Category: All categories

Week,Dessert: (Portugal)
2006-01-01,58
2006-01-08,0
2006-01-15,0
2006-01-22,15
2006-01-29,100
2006-02-05,28
2006-02-12,0
2006-02-19,59
2006-02-26,23
2006-03-05,14
2006-03-12,39
2006-03-19,53
2006-03-26,0
2006-04-02,23
2006-04-09,42
2006-04-16,0
2006-04-23,37
2006-04-30,28
2006-05-07,20
2006-05-14,33
2006-05-21,36
2006-05-28,59
2006-06-04,45
2006-06-11,0
2006-06-18,0
2006-06-25,35
2006-07-02,0
2006-07-09,42
2006-07-16,43
2006-07-23,31
2006-07-30,0
2006-08-06,29
2006-08-13,32
2006-08-20,60
2006-08-27,13
2006-09-03,26
2006-09-10,15
2006-09-17,36
2006-09-24,43
2006-10-01,24
2006-10-08,28
2006-10-15,41
2006-10-22,40
2006-10-29,0
2006-11-05,52
2006-11-12,26
2006-11-19,35
2006-11-26,16
2006-12-03,14
2006-12-10,31
2006-12-17,57
2006-12-24,0
2006-12-31,0
2007-01-07,24
2007-01-14,32
2007-01-21,24
2007-01-28,18
2007-02-04,0
2007-02-11,25
2007-02-18,0
2007-02-25,23
2007-03-04,23
2007-03-11,27
2007-03-18,14
2007-03-25,0
2007-04-01,32
2007-04-08,20
2007-04-15,13
2007-04-22,27
2007-04-29,27
2007-05-06,28
2007-05-13,16
2007-05-20,28
2007-05-27,27
2007-06-03,23
2007-06-10,26
2007-06-17,15
2007-06-24,18
2007-07-01,21
2007-07-08,29
2007-07-15,12
2007-07-22,20
2007-07-29,23
2007-08-05,17
2007-08-12,25
2007-08-19,15
2007-08-26,27
2007-09-02,22
2007-09-09,11
2007-09-16,5
2007-09-23,17
2007-09-30,24
2007-10-07,13
2007-10-14,28
2007-10-21,20
2007-10-28,7
2007-11-04,17
2007-11-11,26
2007-11-18,27
2007-11-25,16
2007-12-02,15
2007-12-09,28
2007-12-16,15
2007-12-23,38
2007-12-30,12
