Category: All categories

Week,Tobacco: (Portugal)
2007-01-07,31
2007-01-14,62
2007-01-21,0
2007-01-28,32
2007-02-04,26
2007-02-11,52
2007-02-18,24
2007-02-25,24
2007-03-04,20
2007-03-11,0
2007-03-18,0
2007-03-25,0
2007-04-01,0
2007-04-08,40
2007-04-15,81
2007-04-22,26
2007-04-29,37
2007-05-06,67
2007-05-13,29
2007-05-20,0
2007-05-27,19
2007-06-03,100
2007-06-10,0
2007-06-17,0
2007-06-24,0
2007-07-01,0
2007-07-08,0
2007-07-15,0
2007-07-22,0
2007-07-29,0
2007-08-05,40
2007-08-12,22
2007-08-19,0
2007-08-26,16
2007-09-02,28
2007-09-09,0
2007-09-16,0
2007-09-23,0
2007-09-30,18
2007-10-07,47
2007-10-14,14
2007-10-21,0
2007-10-28,17
2007-11-04,0
2007-11-11,0
2007-11-18,24
2007-11-25,0
2007-12-02,34
2007-12-09,0
2007-12-16,32
2007-12-23,34
2007-12-30,39
2008-01-06,19
2008-01-13,41
2008-01-20,23
2008-01-27,0
2008-02-03,0
2008-02-10,0
2008-02-17,0
2008-02-24,0
2008-03-02,0
2008-03-09,13
2008-03-16,25
2008-03-23,0
2008-03-30,0
2008-04-06,11
2008-04-13,0
2008-04-20,0
2008-04-27,0
2008-05-04,24
2008-05-11,15
2008-05-18,0
2008-05-25,23
2008-06-01,13
2008-06-08,0
2008-06-15,0
2008-06-22,63
2008-06-29,0
2008-07-06,21
2008-07-13,18
2008-07-20,14
2008-07-27,0
2008-08-03,0
2008-08-10,30
2008-08-17,17
2008-08-24,0
2008-08-31,0
2008-09-07,12
2008-09-14,37
2008-09-21,0
2008-09-28,0
2008-10-05,12
2008-10-12,0
2008-10-19,31
2008-10-26,15
2008-11-02,0
2008-11-09,20
2008-11-16,0
2008-11-23,25
2008-11-30,0
2008-12-07,0
2008-12-14,18
2008-12-21,0
2008-12-28,0
