Category: All categories

Week,Food: (Portugal)
2018-01-07,70
2018-01-14,74
2018-01-21,76
2018-01-28,75
2018-02-04,74
2018-02-11,72
2018-02-18,74
2018-02-25,72
2018-03-04,71
2018-03-11,76
2018-03-18,72
2018-03-25,74
2018-04-01,73
2018-04-08,76
2018-04-15,72
2018-04-22,74
2018-04-29,73
2018-05-06,72
2018-05-13,72
2018-05-20,69
2018-05-27,81
2018-06-03,77
2018-06-10,74
2018-06-17,67
2018-06-24,69
2018-07-01,74
2018-07-08,76
2018-07-15,72
2018-07-22,72
2018-07-29,70
2018-08-05,69
2018-08-12,76
2018-08-19,73
2018-08-26,74
2018-09-02,72
2018-09-09,69
2018-09-16,74
2018-09-23,72
2018-09-30,79
2018-10-07,87
2018-10-14,100
2018-10-21,78
2018-10-28,73
2018-11-04,72
2018-11-11,79
2018-11-18,74
2018-11-25,71
2018-12-02,79
2018-12-09,67
2018-12-16,66
2018-12-23,67
2018-12-30,70
