Category: All categories

Week,Fur: (Portugal)
2018-01-07,73
2018-01-14,85
2018-01-21,66
2018-01-28,83
2018-02-04,78
2018-02-11,63
2018-02-18,67
2018-02-25,60
2018-03-04,52
2018-03-11,56
2018-03-18,54
2018-03-25,56
2018-04-01,48
2018-04-08,58
2018-04-15,53
2018-04-22,44
2018-04-29,53
2018-05-06,59
2018-05-13,46
2018-05-20,42
2018-05-27,61
2018-06-03,57
2018-06-10,46
2018-06-17,38
2018-06-24,58
2018-07-01,54
2018-07-08,37
2018-07-15,53
2018-07-22,49
2018-07-29,30
2018-08-05,53
2018-08-12,40
2018-08-19,47
2018-08-26,57
2018-09-02,48
2018-09-09,45
2018-09-16,39
2018-09-23,29
2018-09-30,42
2018-10-07,66
2018-10-14,66
2018-10-21,64
2018-10-28,100
2018-11-04,94
2018-11-11,98
2018-11-18,67
2018-11-25,84
2018-12-02,91
2018-12-09,86
2018-12-16,78
2018-12-23,94
2018-12-30,84
