Category: All categories

Week,Lumber: (Portugal)
2009-01-04,28
2009-01-11,33
2009-01-18,0
2009-01-25,0
2009-02-01,34
2009-02-08,27
2009-02-15,0
2009-02-22,0
2009-03-01,27
2009-03-08,0
2009-03-15,0
2009-03-22,35
2009-03-29,0
2009-04-05,41
2009-04-12,30
2009-04-19,55
2009-04-26,65
2009-05-03,0
2009-05-10,28
2009-05-17,53
2009-05-24,32
2009-05-31,0
2009-06-07,0
2009-06-14,0
2009-06-21,0
2009-06-28,0
2009-07-05,0
2009-07-12,0
2009-07-19,41
2009-07-26,0
2009-08-02,34
2009-08-09,0
2009-08-16,0
2009-08-23,0
2009-08-30,64
2009-09-06,30
2009-09-13,100
2009-09-20,0
2009-09-27,0
2009-10-04,0
2009-10-11,0
2009-10-18,60
2009-10-25,0
2009-11-01,0
2009-11-08,42
2009-11-15,0
2009-11-22,32
2009-11-29,0
2009-12-06,0
2009-12-13,35
2009-12-20,90
2009-12-27,44
2010-01-03,32
2010-01-10,24
2010-01-17,29
2010-01-24,36
2010-01-31,0
2010-02-07,31
2010-02-14,59
2010-02-21,0
2010-02-28,0
2010-03-07,0
2010-03-14,32
2010-03-21,19
2010-03-28,0
2010-04-04,22
2010-04-11,31
2010-04-18,36
2010-04-25,24
2010-05-02,25
2010-05-09,0
2010-05-16,74
2010-05-23,0
2010-05-30,0
2010-06-06,49
2010-06-13,0
2010-06-20,0
2010-06-27,0
2010-07-04,0
2010-07-11,0
2010-07-18,40
2010-07-25,46
2010-08-01,0
2010-08-08,34
2010-08-15,52
2010-08-22,0
2010-08-29,0
2010-09-05,0
2010-09-12,0
2010-09-19,0
2010-09-26,0
2010-10-03,0
2010-10-10,0
2010-10-17,23
2010-10-24,56
2010-10-31,0
2010-11-07,81
2010-11-14,0
2010-11-21,0
2010-11-28,26
2010-12-05,0
2010-12-12,0
2010-12-19,0
2010-12-26,31
