Category: All categories

Week,Energy: (Portugal),Coffee: (Portugal)
2013-01-06,85,44
2013-01-13,81,38
2013-01-20,88,38
2013-01-27,79,43
2013-02-03,76,38
2013-02-10,62,46
2013-02-17,78,43
2013-02-24,84,41
2013-03-03,88,38
2013-03-10,73,41
2013-03-17,60,42
2013-03-24,70,43
2013-03-31,75,39
2013-04-07,88,38
2013-04-14,82,44
2013-04-21,76,44
2013-04-28,83,38
2013-05-05,79,38
2013-05-12,89,44
2013-05-19,97,45
2013-05-26,99,36
2013-06-02,81,45
2013-06-09,63,49
2013-06-16,64,40
2013-06-23,55,46
2013-06-30,47,41
2013-07-07,49,38
2013-07-14,55,37
2013-07-21,48,41
2013-07-28,41,38
2013-08-04,40,43
2013-08-11,34,38
2013-08-18,43,42
2013-08-25,43,42
2013-09-01,46,42
2013-09-08,52,38
2013-09-15,54,46
2013-09-22,59,45
2013-09-29,65,50
2013-10-06,65,52
2013-10-13,65,58
2013-10-20,68,52
2013-10-27,71,58
2013-11-03,75,50
2013-11-10,72,53
2013-11-17,75,56
2013-11-24,88,53
2013-12-01,100,55
2013-12-08,88,53
2013-12-15,67,56
2013-12-22,56,48
2013-12-29,65,47
