Category: All categories

Week,Energy: (Portugal),Clothing: (Portugal)
2015-01-04,41,77
2015-01-11,47,84
2015-01-18,43,89
2015-01-25,40,83
2015-02-01,35,86
2015-02-08,36,87
2015-02-15,32,86
2015-02-22,43,86
2015-03-01,39,85
2015-03-08,39,82
2015-03-15,39,82
2015-03-22,32,73
2015-03-29,27,87
2015-04-05,34,80
2015-04-12,38,81
2015-04-19,36,81
2015-04-26,34,84
2015-05-03,36,76
2015-05-10,39,81
2015-05-17,36,74
2015-05-24,39,82
2015-05-31,33,71
2015-06-07,35,71
2015-06-14,30,78
2015-06-21,26,71
2015-06-28,26,69
2015-07-05,24,78
2015-07-12,24,79
2015-07-19,23,78
2015-07-26,26,73
2015-08-02,19,72
2015-08-09,20,72
2015-08-16,21,74
2015-08-23,21,81
2015-08-30,26,84
2015-09-06,26,87
2015-09-13,23,83
2015-09-20,27,80
2015-09-27,30,77
2015-10-04,29,81
2015-10-11,31,88
2015-10-18,30,78
2015-10-25,32,92
2015-11-01,32,85
2015-11-08,29,72
2015-11-15,29,84
2015-11-22,33,85
2015-11-29,33,88
2015-12-06,30,88
2015-12-13,31,84
2015-12-20,18,73
2015-12-27,25,100
