Category: All categories

Week,Energy: (Portugal),Natural gas: (Portugal)
2012-01-01,74,9
2012-01-08,85,13
2012-01-15,84,12
2012-01-22,81,12
2012-01-29,70,15
2012-02-05,81,17
2012-02-12,73,11
2012-02-19,64,12
2012-02-26,77,11
2012-03-04,77,9
2012-03-11,84,11
2012-03-18,81,11
2012-03-25,64,8
2012-04-01,53,11
2012-04-08,68,10
2012-04-15,89,13
2012-04-22,75,11
2012-04-29,81,10
2012-05-06,90,12
2012-05-13,97,9
2012-05-20,95,10
2012-05-27,100,12
2012-06-03,83,10
2012-06-10,77,9
2012-06-17,67,9
2012-06-24,72,8
2012-07-01,67,11
2012-07-08,60,11
2012-07-15,51,6
2012-07-22,46,10
2012-07-29,42,6
2012-08-05,42,10
2012-08-12,41,8
2012-08-19,45,9
2012-08-26,46,6
2012-09-02,46,9
2012-09-09,58,8
2012-09-16,66,8
2012-09-23,56,9
2012-09-30,52,8
2012-10-07,58,8
2012-10-14,61,12
2012-10-21,62,11
2012-10-28,63,9
2012-11-04,67,14
2012-11-11,63,13
2012-11-18,66,13
2012-11-25,71,14
2012-12-02,69,15
2012-12-09,67,15
2012-12-16,56,11
2012-12-23,64,14
2012-12-30,72,11
