Category: All categories

Week,Tobacco: (Portugal)
2012-01-01,67
2012-01-08,50
2012-01-15,83
2012-01-22,62
2012-01-29,14
2012-02-05,43
2012-02-12,73
2012-02-19,65
2012-02-26,0
2012-03-04,69
2012-03-11,61
2012-03-18,40
2012-03-25,71
2012-04-01,15
2012-04-08,0
2012-04-15,81
2012-04-22,65
2012-04-29,70
2012-05-06,99
2012-05-13,53
2012-05-20,44
2012-05-27,80
2012-06-03,62
2012-06-10,33
2012-06-17,49
2012-06-24,50
2012-07-01,76
2012-07-08,68
2012-07-15,27
2012-07-22,36
2012-07-29,43
2012-08-05,26
2012-08-12,66
2012-08-19,28
2012-08-26,61
2012-09-02,20
2012-09-09,49
2012-09-16,53
2012-09-23,73
2012-09-30,37
2012-10-07,0
2012-10-14,74
2012-10-21,100
2012-10-28,79
2012-11-04,75
2012-11-11,48
2012-11-18,76
2012-11-25,48
2012-12-02,45
2012-12-09,31
2012-12-16,47
2012-12-23,34
2012-12-30,47
