Category: All categories

Week,Energy: (Portugal),Travel agency: (Portugal)
2010-01-03,67,17
2010-01-10,73,16
2010-01-17,71,21
2010-01-24,73,20
2010-01-31,74,19
2010-02-07,67,15
2010-02-14,55,21
2010-02-21,71,19
2010-02-28,67,17
2010-03-07,69,20
2010-03-14,67,22
2010-03-21,63,25
2010-03-28,43,19
2010-04-04,57,27
2010-04-11,73,30
2010-04-18,88,24
2010-04-25,72,22
2010-05-02,83,17
2010-05-09,79,21
2010-05-16,97,16
2010-05-23,100,15
2010-05-30,85,27
2010-06-06,69,31
2010-06-13,49,23
2010-06-20,40,24
2010-06-27,47,24
2010-07-04,47,36
2010-07-11,37,31
2010-07-18,33,23
2010-07-25,48,27
2010-08-01,44,22
2010-08-08,37,23
2010-08-15,34,26
2010-08-22,39,14
2010-08-29,30,15
2010-09-05,37,13
2010-09-12,53,11
2010-09-19,54,15
2010-09-26,54,10
2010-10-03,48,12
2010-10-10,60,10
2010-10-17,49,11
2010-10-24,57,12
2010-10-31,62,9
2010-11-07,60,8
2010-11-14,66,14
2010-11-21,60,10
2010-11-28,58,11
2010-12-05,55,7
2010-12-12,51,10
2010-12-19,33,14
2010-12-26,28,11
