Category: All categories

Week,Energy: (Portugal),Shoes: (Portugal)
2014-01-05,53,68
2014-01-12,50,72
2014-01-19,50,68
2014-01-26,51,70
2014-02-02,46,67
2014-02-09,50,66
2014-02-16,45,75
2014-02-23,48,72
2014-03-02,43,72
2014-03-09,45,84
2014-03-16,51,82
2014-03-23,54,81
2014-03-30,48,83
2014-04-06,39,83
2014-04-13,38,84
2014-04-20,42,83
2014-04-27,42,83
2014-05-04,50,89
2014-05-11,54,81
2014-05-18,62,81
2014-05-25,63,81
2014-06-01,61,83
2014-06-08,55,78
2014-06-15,53,72
2014-06-22,49,73
2014-06-29,43,71
2014-07-06,43,77
2014-07-13,38,74
2014-07-20,33,77
2014-07-27,32,63
2014-08-03,30,70
2014-08-10,26,71
2014-08-17,32,67
2014-08-24,29,71
2014-08-31,39,74
2014-09-07,35,75
2014-09-14,41,92
2014-09-21,42,90
2014-09-28,45,84
2014-10-05,50,100
2014-10-12,44,87
2014-10-19,40,80
2014-10-26,47,78
2014-11-02,45,82
2014-11-09,48,88
2014-11-16,42,89
2014-11-23,42,78
2014-11-30,40,76
2014-12-07,46,77
2014-12-14,41,80
2014-12-21,36,74
2014-12-28,46,75
