Category: All categories

Week,Energy: (Portugal),Petroleum: (Portugal)
2013-01-06,85,10
2013-01-13,81,15
2013-01-20,87,12
2013-01-27,77,12
2013-02-03,76,9
2013-02-10,63,11
2013-02-17,76,12
2013-02-24,82,10
2013-03-03,87,15
2013-03-10,70,11
2013-03-17,61,6
2013-03-24,70,9
2013-03-31,75,12
2013-04-07,89,14
2013-04-14,80,14
2013-04-21,75,12
2013-04-28,86,13
2013-05-05,78,13
2013-05-12,89,14
2013-05-19,97,16
2013-05-26,100,13
2013-06-02,81,15
2013-06-09,63,9
2013-06-16,62,6
2013-06-23,55,6
2013-06-30,49,9
2013-07-07,49,9
2013-07-14,54,8
2013-07-21,47,6
2013-07-28,40,6
2013-08-04,39,8
2013-08-11,34,6
2013-08-18,42,6
2013-08-25,44,8
2013-09-01,44,9
2013-09-08,51,12
2013-09-15,53,8
2013-09-22,59,10
2013-09-29,65,6
2013-10-06,65,8
2013-10-13,63,12
2013-10-20,67,10
2013-10-27,69,11
2013-11-03,71,11
2013-11-10,72,15
2013-11-17,74,11
2013-11-24,87,10
2013-12-01,98,12
2013-12-08,87,9
2013-12-15,65,7
2013-12-22,54,4
2013-12-29,65,6
