Category: All categories

Week,Energy: (Portugal),Vitamin: (Portugal)
2016-01-03,91,33
2016-01-10,82,38
2016-01-17,87,35
2016-01-24,79,33
2016-01-31,76,29
2016-02-07,65,34
2016-02-14,78,35
2016-02-21,83,36
2016-02-28,90,30
2016-03-06,81,35
2016-03-13,74,36
2016-03-20,63,34
2016-03-27,65,43
2016-04-03,79,41
2016-04-10,87,43
2016-04-17,84,37
2016-04-24,85,37
2016-05-01,88,33
2016-05-08,94,36
2016-05-15,100,33
2016-05-22,91,36
2016-05-29,94,38
2016-06-05,74,36
2016-06-12,81,33
2016-06-19,55,32
2016-06-26,63,27
2016-07-03,58,30
2016-07-10,55,30
2016-07-17,57,39
2016-07-24,56,29
2016-07-31,45,24
2016-08-07,43,29
2016-08-14,45,35
2016-08-21,50,30
2016-08-28,61,30
2016-09-04,58,28
2016-09-11,58,29
2016-09-18,65,32
2016-09-25,74,37
2016-10-02,73,43
2016-10-09,71,40
2016-10-16,72,41
2016-10-23,76,39
2016-10-30,68,34
2016-11-06,86,39
2016-11-13,80,41
2016-11-20,77,34
2016-11-27,74,32
2016-12-04,66,33
2016-12-11,61,32
2016-12-18,49,28
2016-12-25,56,35
