Category: All categories

Week,Energy: (Portugal),Interior design: (Portugal)
2013-01-06,85,58
2013-01-13,81,69
2013-01-20,87,74
2013-01-27,77,64
2013-02-03,76,66
2013-02-10,63,61
2013-02-17,76,66
2013-02-24,82,56
2013-03-03,87,66
2013-03-10,70,66
2013-03-17,61,63
2013-03-24,70,71
2013-03-31,75,54
2013-04-07,89,63
2013-04-14,80,63
2013-04-21,75,64
2013-04-28,86,61
2013-05-05,78,65
2013-05-12,89,57
2013-05-19,97,66
2013-05-26,100,66
2013-06-02,81,62
2013-06-09,63,59
2013-06-16,62,60
2013-06-23,55,50
2013-06-30,49,55
2013-07-07,49,51
2013-07-14,54,65
2013-07-21,47,63
2013-07-28,40,62
2013-08-04,39,73
2013-08-11,34,65
2013-08-18,42,73
2013-08-25,44,81
2013-09-01,44,72
2013-09-08,51,67
2013-09-15,53,71
2013-09-22,59,67
2013-09-29,65,67
2013-10-06,65,67
2013-10-13,63,72
2013-10-20,67,72
2013-10-27,69,72
2013-11-03,71,78
2013-11-10,72,76
2013-11-17,74,76
2013-11-24,87,72
2013-12-01,98,63
2013-12-08,87,60
2013-12-15,65,54
2013-12-22,54,55
2013-12-29,65,59
