Category: All categories

Week,Energy: (Portugal),Gasoline: (Portugal)
2017-01-01,62,41
2017-01-08,81,37
2017-01-15,92,41
2017-01-22,79,38
2017-01-29,78,44
2017-02-05,77,43
2017-02-12,76,48
2017-02-19,77,45
2017-02-26,77,45
2017-03-05,85,42
2017-03-12,88,37
2017-03-19,80,42
2017-03-26,88,41
2017-04-02,68,43
2017-04-09,67,45
2017-04-16,66,46
2017-04-23,77,40
2017-04-30,82,50
2017-05-07,85,40
2017-05-14,87,41
2017-05-21,86,42
2017-05-28,100,46
2017-06-04,88,38
2017-06-11,75,47
2017-06-18,58,43
2017-06-25,57,44
2017-07-02,65,47
2017-07-09,53,40
2017-07-16,61,51
2017-07-23,48,53
2017-07-30,53,57
2017-08-06,47,48
2017-08-13,47,56
2017-08-20,50,47
2017-08-27,52,52
2017-09-03,53,48
2017-09-10,54,48
2017-09-17,60,49
2017-09-24,63,50
2017-10-01,61,40
2017-10-08,67,46
2017-10-15,73,42
2017-10-22,66,50
2017-10-29,62,49
2017-11-05,69,46
2017-11-12,85,53
2017-11-19,68,43
2017-11-26,72,42
2017-12-03,64,42
2017-12-10,74,43
2017-12-17,57,44
2017-12-24,64,45
2017-12-31,77,50
