Category: All categories

Week,Energy: (Portugal),Furniture: (Portugal)
2009-01-04,93,37
2009-01-11,78,39
2009-01-18,71,39
2009-01-25,73,38
2009-02-01,67,39
2009-02-08,72,38
2009-02-15,90,44
2009-02-22,71,47
2009-03-01,100,34
2009-03-08,88,45
2009-03-15,82,45
2009-03-22,89,34
2009-03-29,58,33
2009-04-05,60,39
2009-04-12,79,52
2009-04-19,79,40
2009-04-26,79,40
2009-05-03,82,42
2009-05-10,77,37
2009-05-17,76,35
2009-05-24,96,35
2009-05-31,77,37
2009-06-07,58,34
2009-06-14,71,40
2009-06-21,52,32
2009-06-28,53,40
2009-07-05,57,40
2009-07-12,50,37
2009-07-19,44,35
2009-07-26,44,51
2009-08-02,40,37
2009-08-09,39,42
2009-08-16,33,43
2009-08-23,35,46
2009-08-30,40,43
2009-09-06,31,37
2009-09-13,48,43
2009-09-20,49,40
2009-09-27,53,45
2009-10-04,51,38
2009-10-11,55,44
2009-10-18,63,43
2009-10-25,58,44
2009-11-01,67,37
2009-11-08,66,43
2009-11-15,70,41
2009-11-22,60,37
2009-11-29,55,35
2009-12-06,58,40
2009-12-13,61,32
2009-12-20,32,25
2009-12-27,36,34
