Category: All categories

Week,Shoes: (Portugal)
2013-01-06,70
2013-01-13,64
2013-01-20,70
2013-01-27,67
2013-02-03,72
2013-02-10,65
2013-02-17,70
2013-02-24,78
2013-03-03,79
2013-03-10,77
2013-03-17,84
2013-03-24,81
2013-03-31,71
2013-04-07,79
2013-04-14,95
2013-04-21,84
2013-04-28,87
2013-05-05,81
2013-05-12,86
2013-05-19,86
2013-05-26,79
2013-06-02,83
2013-06-09,82
2013-06-16,69
2013-06-23,76
2013-06-30,69
2013-07-07,70
2013-07-14,75
2013-07-21,71
2013-07-28,68
2013-08-04,69
2013-08-11,64
2013-08-18,72
2013-08-25,73
2013-09-01,71
2013-09-08,80
2013-09-15,83
2013-09-22,98
2013-09-29,100
2013-10-06,90
2013-10-13,93
2013-10-20,90
2013-10-27,89
2013-11-03,99
2013-11-10,82
2013-11-17,89
2013-11-24,84
2013-12-01,86
2013-12-08,87
2013-12-15,73
2013-12-22,84
2013-12-29,88
