Category: All categories

Week,Energy: (Portugal),Television: (Portugal)
2018-01-07,20,57
2018-01-14,21,59
2018-01-21,21,54
2018-01-28,19,67
2018-02-04,18,61
2018-02-11,17,66
2018-02-18,20,56
2018-02-25,19,69
2018-03-04,20,64
2018-03-11,23,60
2018-03-18,21,53
2018-03-25,21,65
2018-04-01,20,56
2018-04-08,20,58
2018-04-15,22,100
2018-04-22,21,60
2018-04-29,22,59
2018-05-06,19,53
2018-05-13,20,54
2018-05-20,23,42
2018-05-27,19,48
2018-06-03,25,43
2018-06-10,20,60
2018-06-17,16,92
2018-06-24,14,66
2018-07-01,14,71
2018-07-08,14,55
2018-07-15,15,41
2018-07-22,14,50
2018-07-29,14,41
2018-08-05,12,70
2018-08-12,13,63
2018-08-19,14,79
2018-08-26,13,55
2018-09-02,14,50
2018-09-09,14,50
2018-09-16,14,93
2018-09-23,19,65
2018-09-30,17,58
2018-10-07,22,68
2018-10-14,18,51
2018-10-21,19,72
2018-10-28,17,64
2018-11-04,18,63
2018-11-11,19,53
2018-11-18,19,50
2018-11-25,20,66
2018-12-02,20,57
2018-12-09,16,54
2018-12-16,15,48
2018-12-23,12,71
2018-12-30,16,58
