Category: All categories

Week,Energy: (Portugal),Petroleum: (Portugal)
2011-01-02,69,10
2011-01-09,82,11
2011-01-16,81,10
2011-01-23,78,12
2011-01-30,74,10
2011-02-06,80,11
2011-02-13,72,10
2011-02-20,83,18
2011-02-27,79,12
2011-03-06,65,13
2011-03-13,89,17
2011-03-20,82,15
2011-03-27,75,11
2011-04-03,70,13
2011-04-10,51,8
2011-04-17,59,7
2011-04-24,73,7
2011-05-01,82,11
2011-05-08,82,15
2011-05-15,94,12
2011-05-22,100,12
2011-05-29,98,12
2011-06-05,91,16
2011-06-12,99,8
2011-06-19,80,8
2011-06-26,100,9
2011-07-03,88,9
2011-07-10,83,7
2011-07-17,92,10
2011-07-24,78,5
2011-07-31,57,7
2011-08-07,47,15
2011-08-14,45,11
2011-08-21,49,10
2011-08-28,43,9
2011-09-04,52,9
2011-09-11,48,7
2011-09-18,61,9
2011-09-25,62,14
2011-10-02,65,12
2011-10-09,63,12
2011-10-16,71,9
2011-10-23,64,10
2011-10-30,61,10
2011-11-06,66,10
2011-11-13,71,7
2011-11-20,66,13
2011-11-27,63,11
2011-12-04,58,11
2011-12-11,62,10
2011-12-18,41,6
2011-12-25,51,5
