Category: All categories

Week,Energy: (Portugal),Nightclub: (Portugal)
2014-01-05,85,11
2014-01-12,80,14
2014-01-19,80,14
2014-01-26,82,15
2014-02-02,73,15
2014-02-09,80,13
2014-02-16,71,13
2014-02-23,76,12
2014-03-02,68,12
2014-03-09,72,11
2014-03-16,81,15
2014-03-23,86,10
2014-03-30,77,11
2014-04-06,62,13
2014-04-13,61,12
2014-04-20,67,14
2014-04-27,67,15
2014-05-04,79,11
2014-05-11,86,9
2014-05-18,99,14
2014-05-25,100,10
2014-06-01,97,9
2014-06-08,88,13
2014-06-15,84,10
2014-06-22,78,11
2014-06-29,69,11
2014-07-06,69,14
2014-07-13,61,18
2014-07-20,52,17
2014-07-27,51,22
2014-08-03,48,19
2014-08-10,41,20
2014-08-17,51,18
2014-08-24,46,15
2014-08-31,62,15
2014-09-07,56,12
2014-09-14,66,14
2014-09-21,66,10
2014-09-28,72,14
2014-10-05,79,11
2014-10-12,71,13
2014-10-19,64,10
2014-10-26,74,12
2014-11-02,72,12
2014-11-09,76,12
2014-11-16,67,13
2014-11-23,66,11
2014-11-30,63,11
2014-12-07,74,12
2014-12-14,65,14
2014-12-21,58,17
2014-12-28,73,20
