Category: All categories

Week,T-shirt: (Portugal)
2012-01-01,61
2012-01-08,57
2012-01-15,53
2012-01-22,53
2012-01-29,51
2012-02-05,56
2012-02-12,56
2012-02-19,63
2012-02-26,61
2012-03-04,64
2012-03-11,67
2012-03-18,67
2012-03-25,61
2012-04-01,62
2012-04-08,66
2012-04-15,79
2012-04-22,64
2012-04-29,59
2012-05-06,69
2012-05-13,87
2012-05-20,74
2012-05-27,82
2012-06-03,84
2012-06-10,79
2012-06-17,82
2012-06-24,84
2012-07-01,87
2012-07-08,83
2012-07-15,79
2012-07-22,82
2012-07-29,78
2012-08-05,68
2012-08-12,76
2012-08-19,78
2012-08-26,70
2012-09-02,68
2012-09-09,70
2012-09-16,59
2012-09-23,56
2012-09-30,70
2012-10-07,56
2012-10-14,60
2012-10-21,57
2012-10-28,55
2012-11-04,55
2012-11-11,54
2012-11-18,54
2012-11-25,59
2012-12-02,68
2012-12-09,65
2012-12-16,67
2012-12-23,48
2012-12-30,47
2013-01-06,45
2013-01-13,53
2013-01-20,58
2013-01-27,67
2013-02-03,60
2013-02-10,61
2013-02-17,60
2013-02-24,68
2013-03-03,66
2013-03-10,80
2013-03-17,72
2013-03-24,79
2013-03-31,63
2013-04-07,75
2013-04-14,86
2013-04-21,76
2013-04-28,91
2013-05-05,81
2013-05-12,89
2013-05-19,87
2013-05-26,100
2013-06-02,83
2013-06-09,87
2013-06-16,88
2013-06-23,89
2013-06-30,93
2013-07-07,92
2013-07-14,77
2013-07-21,81
2013-07-28,78
2013-08-04,88
2013-08-11,91
2013-08-18,81
2013-08-25,87
2013-09-01,77
2013-09-08,70
2013-09-15,63
2013-09-22,71
2013-09-29,65
2013-10-06,72
2013-10-13,72
2013-10-20,73
2013-10-27,63
2013-11-03,66
2013-11-10,70
2013-11-17,73
2013-11-24,78
2013-12-01,73
2013-12-08,73
2013-12-15,78
2013-12-22,57
2013-12-29,56
