Category: All categories

Week,Fur: (Portugal)
2015-01-04,32
2015-01-11,25
2015-01-18,34
2015-01-25,30
2015-02-01,40
2015-02-08,38
2015-02-15,23
2015-02-22,31
2015-03-01,32
2015-03-08,13
2015-03-15,0
2015-03-22,20
2015-03-29,15
2015-04-05,33
2015-04-12,30
2015-04-19,20
2015-04-26,13
2015-05-03,21
2015-05-10,19
2015-05-17,17
2015-05-24,14
2015-05-31,19
2015-06-07,16
2015-06-14,17
2015-06-21,15
2015-06-28,27
2015-07-05,27
2015-07-12,25
2015-07-19,35
2015-07-26,15
2015-08-02,34
2015-08-09,35
2015-08-16,17
2015-08-23,36
2015-08-30,26
2015-09-06,30
2015-09-13,17
2015-09-20,33
2015-09-27,31
2015-10-04,33
2015-10-11,25
2015-10-18,34
2015-10-25,27
2015-11-01,30
2015-11-08,22
2015-11-15,12
2015-11-22,38
2015-11-29,24
2015-12-06,29
2015-12-13,24
2015-12-20,21
2015-12-27,34
2016-01-03,48
2016-01-10,16
2016-01-17,43
2016-01-24,48
2016-01-31,22
2016-02-07,34
2016-02-14,48
2016-02-21,34
2016-02-28,46
2016-03-06,39
2016-03-13,34
2016-03-20,45
2016-03-27,36
2016-04-03,38
2016-04-10,28
2016-04-17,26
2016-04-24,22
2016-05-01,22
2016-05-08,34
2016-05-15,31
2016-05-22,29
2016-05-29,49
2016-06-05,32
2016-06-12,42
2016-06-19,28
2016-06-26,24
2016-07-03,31
2016-07-10,34
2016-07-17,24
2016-07-24,35
2016-07-31,32
2016-08-07,27
2016-08-14,33
2016-08-21,54
2016-08-28,31
2016-09-04,31
2016-09-11,38
2016-09-18,33
2016-09-25,34
2016-10-02,30
2016-10-09,48
2016-10-16,28
2016-10-23,29
2016-10-30,21
2016-11-06,54
2016-11-13,44
2016-11-20,26
2016-11-27,45
2016-12-04,99
2016-12-11,100
2016-12-18,99
2016-12-25,89
