Category: All categories

Week,Energy: (Portugal),Lawyer: (Portugal)
2011-01-02,69,47
2011-01-09,82,39
2011-01-16,81,44
2011-01-23,78,46
2011-01-30,74,40
2011-02-06,80,43
2011-02-13,72,37
2011-02-20,83,48
2011-02-27,79,41
2011-03-06,65,32
2011-03-13,89,43
2011-03-20,82,35
2011-03-27,75,36
2011-04-03,70,37
2011-04-10,51,37
2011-04-17,59,27
2011-04-24,73,35
2011-05-01,82,42
2011-05-08,82,43
2011-05-15,94,41
2011-05-22,100,43
2011-05-29,98,39
2011-06-05,91,38
2011-06-12,99,38
2011-06-19,80,31
2011-06-26,100,36
2011-07-03,88,37
2011-07-10,83,43
2011-07-17,92,43
2011-07-24,78,39
2011-07-31,57,32
2011-08-07,47,32
2011-08-14,45,22
2011-08-21,49,32
2011-08-28,43,35
2011-09-04,52,43
2011-09-11,48,48
2011-09-18,61,44
2011-09-25,62,53
2011-10-02,65,42
2011-10-09,63,55
2011-10-16,71,50
2011-10-23,64,38
2011-10-30,61,36
2011-11-06,66,54
2011-11-13,71,53
2011-11-20,66,49
2011-11-27,63,40
2011-12-04,58,32
2011-12-11,62,44
2011-12-18,41,36
2011-12-25,51,35
