Category: All categories

Week,ebook: (Portugal)
2013-01-06,90
2013-01-13,100
2013-01-20,84
2013-01-27,72
2013-02-03,91
2013-02-10,99
2013-02-17,89
2013-02-24,86
2013-03-03,73
2013-03-10,81
2013-03-17,68
2013-03-24,97
2013-03-31,80
2013-04-07,64
2013-04-14,71
2013-04-21,70
2013-04-28,77
2013-05-05,67
2013-05-12,79
2013-05-19,69
2013-05-26,69
2013-06-02,72
2013-06-09,69
2013-06-16,68
2013-06-23,72
2013-06-30,66
2013-07-07,67
2013-07-14,72
2013-07-21,87
2013-07-28,75
2013-08-04,77
2013-08-11,65
2013-08-18,75
2013-08-25,65
2013-09-01,59
2013-09-08,68
2013-09-15,76
2013-09-22,75
2013-09-29,82
2013-10-06,77
2013-10-13,73
2013-10-20,77
2013-10-27,54
2013-11-03,89
2013-11-10,73
2013-11-17,74
2013-11-24,63
2013-12-01,59
2013-12-08,81
2013-12-15,76
2013-12-22,93
2013-12-29,84
