Category: All categories

Week,Life insurance: (Portugal)
2006-01-01,100
2006-01-08,0
2006-01-15,0
2006-01-22,0
2006-01-29,0
2006-02-05,0
2006-02-12,35
2006-02-19,0
2006-02-26,0
2006-03-05,74
2006-03-12,0
2006-03-19,0
2006-03-26,0
2006-04-02,35
2006-04-09,0
2006-04-16,0
2006-04-23,0
2006-04-30,0
2006-05-07,0
2006-05-14,23
2006-05-21,0
2006-05-28,0
2006-06-04,0
2006-06-11,0
2006-06-18,26
2006-06-25,0
2006-07-02,30
2006-07-09,56
2006-07-16,23
2006-07-23,0
2006-07-30,47
2006-08-06,0
2006-08-13,33
2006-08-20,0
2006-08-27,0
2006-09-03,0
2006-09-10,0
2006-09-17,0
2006-09-24,0
2006-10-01,38
2006-10-08,59
2006-10-15,33
2006-10-22,0
2006-10-29,31
2006-11-05,0
2006-11-12,0
2006-11-19,0
2006-11-26,0
2006-12-03,20
2006-12-10,0
2006-12-17,0
2006-12-24,0
2006-12-31,34
2007-01-07,57
2007-01-14,0
2007-01-21,20
2007-01-28,0
2007-02-04,0
2007-02-11,0
2007-02-18,0
2007-02-25,16
2007-03-04,0
2007-03-11,31
2007-03-18,24
2007-03-25,0
2007-04-01,0
2007-04-08,0
2007-04-15,0
2007-04-22,0
2007-04-29,14
2007-05-06,0
2007-05-13,27
2007-05-20,0
2007-05-27,0
2007-06-03,0
2007-06-10,19
2007-06-17,0
2007-06-24,0
2007-07-01,11
2007-07-08,0
2007-07-15,17
2007-07-22,36
2007-07-29,0
2007-08-05,0
2007-08-12,0
2007-08-19,0
2007-08-26,27
2007-09-02,15
2007-09-09,0
2007-09-16,16
2007-09-23,0
2007-09-30,0
2007-10-07,15
2007-10-14,0
2007-10-21,0
2007-10-28,26
2007-11-04,15
2007-11-11,9
2007-11-18,18
2007-11-25,0
2007-12-02,9
2007-12-09,0
2007-12-16,0
2007-12-23,0
2007-12-30,0
