Category: All categories

Week,ebook: (Portugal)
2013-01-06,90
2013-01-13,100
2013-01-20,85
2013-01-27,67
2013-02-03,94
2013-02-10,97
2013-02-17,90
2013-02-24,91
2013-03-03,72
2013-03-10,79
2013-03-17,67
2013-03-24,94
2013-03-31,79
2013-04-07,71
2013-04-14,72
2013-04-21,73
2013-04-28,82
2013-05-05,69
2013-05-12,82
2013-05-19,65
2013-05-26,70
2013-06-02,76
2013-06-09,70
2013-06-16,65
2013-06-23,74
2013-06-30,65
2013-07-07,66
2013-07-14,72
2013-07-21,88
2013-07-28,81
2013-08-04,75
2013-08-11,67
2013-08-18,71
2013-08-25,67
2013-09-01,62
2013-09-08,67
2013-09-15,76
2013-09-22,76
2013-09-29,75
2013-10-06,79
2013-10-13,74
2013-10-20,80
2013-10-27,58
2013-11-03,90
2013-11-10,69
2013-11-17,74
2013-11-24,62
2013-12-01,63
2013-12-08,79
2013-12-15,74
2013-12-22,97
2013-12-29,83
2014-01-05,76
2014-01-12,85
2014-01-19,75
2014-01-26,72
2014-02-02,69
2014-02-09,67
2014-02-16,77
2014-02-23,71
2014-03-02,69
2014-03-09,65
2014-03-16,76
2014-03-23,69
2014-03-30,57
2014-04-06,67
2014-04-13,60
2014-04-20,59
2014-04-27,64
2014-05-04,62
2014-05-11,68
2014-05-18,60
2014-05-25,59
2014-06-01,49
2014-06-08,55
2014-06-15,46
2014-06-22,51
2014-06-29,33
2014-07-06,74
2014-07-13,54
2014-07-20,59
2014-07-27,66
2014-08-03,68
2014-08-10,64
2014-08-17,55
2014-08-24,47
2014-08-31,52
2014-09-07,63
2014-09-14,58
2014-09-21,71
2014-09-28,61
2014-10-05,68
2014-10-12,54
2014-10-19,70
2014-10-26,57
2014-11-02,58
2014-11-09,44
2014-11-16,51
2014-11-23,63
2014-11-30,39
2014-12-07,57
2014-12-14,51
2014-12-21,56
2014-12-28,59
