Category: All categories

Week,Used car: (Portugal)
2012-01-01,94
2012-01-08,91
2012-01-15,96
2012-01-22,89
2012-01-29,92
2012-02-05,88
2012-02-12,90
2012-02-19,93
2012-02-26,86
2012-03-04,81
2012-03-11,83
2012-03-18,90
2012-03-25,77
2012-04-01,79
2012-04-08,92
2012-04-15,87
2012-04-22,85
2012-04-29,81
2012-05-06,87
2012-05-13,78
2012-05-20,85
2012-05-27,75
2012-06-03,81
2012-06-10,78
2012-06-17,70
2012-06-24,81
2012-07-01,89
2012-07-08,82
2012-07-15,80
2012-07-22,78
2012-07-29,81
2012-08-05,76
2012-08-12,87
2012-08-19,91
2012-08-26,91
2012-09-02,76
2012-09-09,73
2012-09-16,78
2012-09-23,77
2012-09-30,82
2012-10-07,80
2012-10-14,71
2012-10-21,76
2012-10-28,79
2012-11-04,73
2012-11-11,69
2012-11-18,63
2012-11-25,67
2012-12-02,59
2012-12-09,62
2012-12-16,55
2012-12-23,67
2012-12-30,74
2013-01-06,69
2013-01-13,72
2013-01-20,66
2013-01-27,72
2013-02-03,69
2013-02-10,64
2013-02-17,69
2013-02-24,67
2013-03-03,72
2013-03-10,73
2013-03-17,73
2013-03-24,78
2013-03-31,72
2013-04-07,63
2013-04-14,73
2013-04-21,66
2013-04-28,75
2013-05-05,65
2013-05-12,75
2013-05-19,85
2013-05-26,69
2013-06-02,72
2013-06-09,77
2013-06-16,72
2013-06-23,62
2013-06-30,67
2013-07-07,71
2013-07-14,77
2013-07-21,84
2013-07-28,80
2013-08-04,91
2013-08-11,95
2013-08-18,84
2013-08-25,94
2013-09-01,100
2013-09-08,91
2013-09-15,97
2013-09-22,93
2013-09-29,88
2013-10-06,87
2013-10-13,92
2013-10-20,74
2013-10-27,71
2013-11-03,79
2013-11-10,73
2013-11-17,78
2013-11-24,76
2013-12-01,72
2013-12-08,70
2013-12-15,76
2013-12-22,88
2013-12-29,91
