Category: All categories

Week,Energy: (Portugal),Health care: (Portugal)
2017-01-01,62,5
2017-01-08,81,7
2017-01-15,92,4
2017-01-22,79,5
2017-01-29,78,6
2017-02-05,77,6
2017-02-12,76,9
2017-02-19,77,6
2017-02-26,77,6
2017-03-05,85,7
2017-03-12,88,5
2017-03-19,80,9
2017-03-26,88,6
2017-04-02,68,6
2017-04-09,67,7
2017-04-16,66,5
2017-04-23,77,5
2017-04-30,82,6
2017-05-07,85,7
2017-05-14,87,7
2017-05-21,86,7
2017-05-28,100,5
2017-06-04,88,6
2017-06-11,75,5
2017-06-18,58,6
2017-06-25,57,7
2017-07-02,65,3
2017-07-09,53,7
2017-07-16,61,3
2017-07-23,48,3
2017-07-30,53,5
2017-08-06,47,3
2017-08-13,47,5
2017-08-20,50,5
2017-08-27,52,6
2017-09-03,53,2
2017-09-10,54,7
2017-09-17,60,7
2017-09-24,63,4
2017-10-01,61,3
2017-10-08,67,5
2017-10-15,73,5
2017-10-22,66,5
2017-10-29,62,3
2017-11-05,69,6
2017-11-12,85,4
2017-11-19,68,5
2017-11-26,72,6
2017-12-03,64,5
2017-12-10,74,4
2017-12-17,57,3
2017-12-24,64,5
2017-12-31,77,6
